"country","year","total_survey_children","total_male","total_female","age_range","median_age","age_iqr","vaccine","total_countries","no_countries_intro","prop_countries_intro","no_countries_notvax","prop_countries_notvax","coun_w_data","prop_coun_w_data","total_children_intro","prop_children_intro","total_w_data","prop_w_data","total_1ye_buff_intro","prop_1ye_buff_intro","total_2ye_buff_intro","prop_2ye_buff_intro","total_unvax1","prop_unvax1","total_vax1","prop_vax1","total_vax_date_data1","prop_vax_date1","total_unvax2","prop_unvax2","total_vax2","prop_vax2","total_vax_date_data2","prop_vax_date2"
"All",NA,"743694","379193","364501","(0, 61)","29","(14, 46)","BCG","54","54","100","0","0","54","100","743694","100","507599","68.25","359648","70.85","214091","42.18","42083","11.7","317565","88.3","208101","65.53","27257","12.73","186834","87.27","110483","59.13"
"All",NA,"743694","379193","364501","(0, 61)","29","(14, 46)","DTP-D1","54","54","100","0","0","54","100","743694","100","497298","66.87","338727","68.11","200117","40.24","43481","12.84","291640","86.1","183502","62.92","27161","13.57","169350","84.63","95450","56.36"
"All",NA,"743694","379193","364501","(0, 61)","29","(14, 46)","DTP-D2","54","54","100","0","0","54","100","743694","100","496490","66.76","338165","68.11","195575","39.39","57204","16.92","277365","82.02","190526","68.69","34491","17.64","157488","80.53","99312","63.06"
"All",NA,"743694","379193","364501","(0, 61)","29","(14, 46)","DTP-D3","54","54","100","0","0","54","100","743694","100","496181","66.72","337994","68.12","195456","39.39","76940","22.76","257474","76.18","183937","71.44","46238","23.66","145638","74.51","96263","66.1"
"All",NA,"743694","379193","364501","(0, 61)","29","(14, 46)","HepB-BD","54","20","37","8","15","14","70","670394","90.14","216095","32.23","149915","69.37","83574","38.67","44243","29.51","92504","61.7","67112","72.55","23507","28.13","46899","56.12","32543","69.39"
"All",NA,"743694","379193","364501","(0, 61)","29","(14, 46)","HepB-D1","54","54","100","0","0","38","70","743694","100","349515","47","225012","64.38","114906","32.88","27771","12.34","193635","86.06","143649","74.19","14574","12.68","96726","84.18","68192","70.5"
"All",NA,"743694","379193","364501","(0, 61)","29","(14, 46)","HepB-D2","54","54","100","0","0","38","70","743694","100","349382","46.98","224853","64.36","111641","31.95","36714","16.33","184543","82.07","138838","75.23","18610","16.67","89435","80.11","63869","71.41"
"All",NA,"743694","379193","364501","(0, 61)","29","(14, 46)","HepB-D3","54","54","100","0","0","38","70","743694","100","349361","46.98","225361","64.51","112602","32.23","47573","21.11","172799","76.68","133509","77.26","23783","21.12","83830","74.45","61607","73.49"
"All",NA,"743694","379193","364501","(0, 61)","29","(14, 46)","Hib-D1","54","53","98","1","2","35","66","728228","97.92","211668","29.07","135341","63.94","68509","32.37","19071","14.09","112664","83.24","75065","66.63","9707","14.17","55196","80.57","33673","61.01"
"All",NA,"743694","379193","364501","(0, 61)","29","(14, 46)","Hib-D2","54","53","98","1","2","35","66","728228","97.92","211649","29.06","135323","63.94","66659","31.5","25712","19","106015","78.34","73116","68.97","12739","19.11","50324","75.49","31919","63.43"
"All",NA,"743694","379193","364501","(0, 61)","29","(14, 46)","Hib-D3","54","53","98","1","2","35","66","728228","97.92","211632","29.06","135306","63.93","66642","31.49","33479","24.74","98247","72.61","70290","71.54","16452","24.69","46610","69.94","30766","66.01"
"All",NA,"743694","379193","364501","(0, 61)","29","(14, 46)","IPV-D1","54","30","56","26","48","20","67","505802","68.01","122972","24.31","77539","63.05","37433","30.44","29457","37.99","48082","62.01","27672","57.55","14498","38.73","22935","61.27","11621","50.67"
"All",NA,"743694","379193","364501","(0, 61)","29","(14, 46)","IPV-D2","54","4","7","24","44","2","50","468549","63","9857","2.1","9857","100","9857","100","0","0","0","0","0","NaN","0","0","0","0","0","NaN"
"All",NA,"743694","379193","364501","(0, 61)","29","(14, 46)","MCV-D1","54","54","100","0","0","54","100","743694","100","467728","62.89","311309","66.56","175068","37.43","59736","19.19","251573","80.81","158313","62.93","31526","18.01","143542","81.99","82376","57.39"
"All",NA,"743694","379193","364501","(0, 61)","29","(14, 46)","MCV-D2","54","34","63","24","44","24","71","525967","70.72","284772","54.14","171702","60.29","81556","28.64","88181","51.36","83521","48.64","57694","69.08","34762","42.62","46794","57.38","30136","64.4"
"All",NA,"743694","379193","364501","(0, 61)","29","(14, 46)","OPV-BD","54","54","100","0","0","43","80","743694","100","432403","58.14","311847","72.12","193874","44.84","78163","25.06","201788","64.71","137176","67.98","50304","25.95","111674","57.6","69326","62.08"
"All",NA,"743694","379193","364501","(0, 61)","29","(14, 46)","OPV-D1","54","54","100","0","0","54","100","743694","100","498512","67.03","345839","69.37","212338","42.59","38902","11.25","276180","79.86","180529","65.37","23265","10.96","158316","74.56","92919","58.69"
"All",NA,"743694","379193","364501","(0, 61)","29","(14, 46)","OPV-D2","54","54","100","0","0","54","100","743694","100","496986","66.83","344227","69.26","207562","41.76","52554","15.27","259009","75.24","175306","67.68","30238","14.57","144660","69.69","88054","60.87"
"All",NA,"743694","379193","364501","(0, 61)","29","(14, 46)","OPV-D3","54","54","100","0","0","54","100","743694","100","496780","66.8","340596","68.56","200664","40.39","88054","25.85","236256","69.37","179016","75.77","51677","25.75","132701","66.13","92949","70.04"
"All",NA,"743694","379193","364501","(0, 61)","29","(14, 46)","PCV-D1","54","34","63","16","30","32","94","418724","56.3","206592","49.34","136069","65.86","74139","35.89","32300","23.74","100129","73.59","67940","67.85","22258","30.02","48241","65.07","29291","60.72"
"All",NA,"743694","379193","364501","(0, 61)","29","(14, 46)","PCV-D2","54","34","63","16","30","32","94","418724","56.3","206348","49.28","135859","65.84","72415","35.09","39331","28.95","92888","68.37","67203","72.35","25496","35.21","43279","59.77","28361","65.53"
"All",NA,"743694","379193","364501","(0, 61)","29","(14, 46)","PCV-D3","54","34","63","16","30","32","94","418724","56.3","197454","47.16","128492","65.07","66393","33.62","39615","30.83","85237","66.34","61574","72.24","22852","34.42","39901","60.1","26209","65.69"
"All",NA,"743694","379193","364501","(0, 61)","29","(14, 46)","RV-D1","54","30","56","16","30","31","103","487113","65.5","315646","64.8","210127","66.57","116389","36.87","80125","38.13","122821","58.45","90812","73.94","47127","40.49","62081","53.34","42927","69.15"
"All",NA,"743694","379193","364501","(0, 61)","29","(14, 46)","RV-D2","54","30","56","16","30","31","103","487113","65.5","315379","64.74","209879","66.55","113823","36.09","90411","43.08","112302","53.51","85092","75.77","52206","45.87","54451","47.84","38571","70.84"
"All",NA,"743694","379193","364501","(0, 61)","29","(14, 46)","RV-D3","54","30","56","16","30","9","30","487113","65.5","175283","35.98","121866","69.53","72793","41.53","56555","46.41","39577","32.48","32069","81.03","29358","40.33","17701","24.32","13514","76.35"
