"country","year","total_survey_children","total_male","total_female","age_range","median_age","age_iqr","vaccine","total_children_intro","prop_children_intro","total_w_data","prop_w_data","total_1ye_buff_intro","prop_1ye_buff_intro","total_2ye_buff_intro","prop_2ye_buff_intro","total_unvax1","prop_unvax1","total_vax1","prop_vax1","total_vax_date_data1","prop_vax_date1","total_unvax2","prop_unvax2","total_vax2","prop_vax2","total_vax_date_data2","prop_vax_date2"
"Angola","2016","13619","6739","6880","(0, 61)","28","(13, 44)","BCG","13619","100","8538","62.69","5602","65.61","2770","32.44","1777","31.72","3825","68.28","1823","47.66","922","33.29","1848","66.71","750","40.58"
"Angola","2016","13619","6739","6880","(0, 61)","28","(13, 44)","DTP-D1","13619","100","8470","62.19","5317","62.77","2516","29.7","1934","36.37","3383","63.63","1706","50.43","951","37.8","1565","62.2","675","43.13"
"Angola","2016","13619","6739","6880","(0, 61)","28","(13, 44)","DTP-D2","13619","100","8470","62.19","5317","62.77","2516","29.7","2820","53.04","2497","46.96","1506","60.31","1409","56","1107","44","597","53.93"
"Angola","2016","13619","6739","6880","(0, 61)","28","(13, 44)","DTP-D3","13619","100","8470","62.19","5317","62.77","2516","29.7","3397","63.89","1920","36.11","1316","68.54","1682","66.85","834","33.15","530","63.55"
"Angola","2016","13619","6739","6880","(0, 61)","28","(13, 44)","HepB-BD","6773","49.73","8501","125.51","5568","65.5","2747","32.31","3231","58.03","2337","41.97","413","17.67","1540","56.06","1207","43.94","194","16.07"
"Angola","2016","13619","6739","6880","(0, 61)","28","(13, 44)","HepB-D1","13619","100","8470","62.19","5317","62.77","2516","29.7","1934","36.37","3383","63.63","1706","50.43","951","37.8","1565","62.2","675","43.13"
"Angola","2016","13619","6739","6880","(0, 61)","28","(13, 44)","HepB-D2","13619","100","8470","62.19","5317","62.77","2516","29.7","2820","53.04","2497","46.96","1506","60.31","1409","56","1107","44","597","53.93"
"Angola","2016","13619","6739","6880","(0, 61)","28","(13, 44)","HepB-D3","13619","100","8470","62.19","5317","62.77","2516","29.7","3397","63.89","1920","36.11","1316","68.54","1682","66.85","834","33.15","530","63.55"
"Angola","2016","13619","6739","6880","(0, 61)","28","(13, 44)","Hib-D1","13619","100","8470","62.19","5317","62.77","2516","29.7","1934","36.37","3383","63.63","1706","50.43","951","37.8","1565","62.2","675","43.13"
"Angola","2016","13619","6739","6880","(0, 61)","28","(13, 44)","Hib-D2","13619","100","8470","62.19","5317","62.77","2516","29.7","2820","53.04","2497","46.96","1506","60.31","1409","56","1107","44","597","53.93"
"Angola","2016","13619","6739","6880","(0, 61)","28","(13, 44)","Hib-D3","13619","100","8470","62.19","5317","62.77","2516","29.7","3397","63.89","1920","36.11","1316","68.54","1682","66.85","834","33.15","530","63.55"
"Angola","2016","13619","6739","6880","(0, 61)","28","(13, 44)","IPV-D1","0","0","0","NaN","0","NaN","0","NaN","0","NaN","0","NaN","0","NaN","0","NaN","0","NaN","0","NaN"
"Angola","2016","13619","6739","6880","(0, 61)","28","(13, 44)","IPV-D2","0","0","0","NaN","0","NaN","0","NaN","0","NaN","0","NaN","0","NaN","0","NaN","0","NaN","0","NaN"
"Angola","2016","13619","6739","6880","(0, 61)","28","(13, 44)","MCV-D1","13619","100","8474","62.22","5075","59.89","2297","27.11","2365","46.6","2710","53.4","1133","41.81","1061","46.19","1236","53.81","457","36.97"
"Angola","2016","13619","6739","6880","(0, 61)","28","(13, 44)","MCV-D2","6773","49.73","8474","125.11","5075","59.89","2297","27.11","3902","76.89","1173","23.11","432","36.83","1767","76.93","530","23.07","163","30.75"
"Angola","2016","13619","6739","6880","(0, 61)","28","(13, 44)","OPV-BD","13619","100","8548","62.77","5608","65.61","2772","32.43","2245","40.03","3363","59.97","1797","53.43","1166","42.06","1606","57.94","747","46.51"
"Angola","2016","13619","6739","6880","(0, 61)","28","(13, 44)","OPV-D1","13619","100","8548","62.77","5373","62.86","2543","29.75","2105","39.18","3268","60.82","1735","53.09","1077","42.35","1466","57.65","674","45.98"
"Angola","2016","13619","6739","6880","(0, 61)","28","(13, 44)","OPV-D2","13619","100","8548","62.77","5373","62.86","2543","29.75","2692","50.1","2681","49.9","1536","57.29","1350","53.09","1193","46.91","603","50.54"
"Angola","2016","13619","6739","6880","(0, 61)","28","(13, 44)","OPV-D3","13619","100","8548","62.77","5373","62.86","2543","29.75","3356","62.46","2017","37.54","1349","66.88","1652","64.96","891","35.04","540","60.61"
"Angola","2016","13619","6739","6880","(0, 61)","28","(13, 44)","PCV-D1","13619","100","8408","61.74","5264","62.61","2481","29.51","2561","48.65","2703","51.35","1232","45.58","1306","52.64","1175","47.36","398","33.87"
"Angola","2016","13619","6739","6880","(0, 61)","28","(13, 44)","PCV-D2","13619","100","8408","61.74","5264","62.61","2481","29.51","3345","63.54","1919","36.46","1086","56.59","1692","68.2","789","31.8","362","45.88"
"Angola","2016","13619","6739","6880","(0, 61)","28","(13, 44)","PCV-D3","13619","100","8408","61.74","5264","62.61","2481","29.51","3843","73.01","1421","26.99","933","65.66","1915","77.19","566","22.81","328","57.95"
"Angola","2016","13619","6739","6880","(0, 61)","28","(13, 44)","RV-D1","13619","100","8371","61.47","5238","62.57","2462","29.41","3069","58.59","2169","41.41","703","32.41","1520","61.74","942","38.26","169","17.94"
"Angola","2016","13619","6739","6880","(0, 61)","28","(13, 44)","RV-D2","13619","100","8371","61.47","5238","62.57","2462","29.41","3665","69.97","1573","30.03","627","39.86","1810","73.52","652","26.48","154","23.62"
"Angola","2016","13619","6739","6880","(0, 61)","28","(13, 44)","RV-D3","13619","100","0","0","0","NaN","0","NaN","0","NaN","0","NaN","0","NaN","0","NaN","0","NaN","0","NaN"
"Bangladesh","2018","8402","4373","4029","(0, 61)","29","(14, 46)","BCG","8402","100","7590","90.34","5863","77.25","4207","55.43","707","12.06","5156","87.94","2390","46.35","691","16.43","3516","83.57","1161","33.02"
"Bangladesh","2018","8402","4373","4029","(0, 61)","29","(14, 46)","DTP-D1","8402","100","5115","60.88","3242","63.38","1724","33.7","53","1.63","3189","98.37","2283","71.59","27","1.57","1697","98.43","1163","68.53"
"Bangladesh","2018","8402","4373","4029","(0, 61)","29","(14, 46)","DTP-D2","8402","100","5115","60.88","3242","63.38","1580","30.89","81","2.5","3161","97.5","2268","71.75","36","2.28","1544","97.72","1068","69.17"
"Bangladesh","2018","8402","4373","4029","(0, 61)","29","(14, 46)","DTP-D3","8402","100","5115","60.88","3242","63.38","1580","30.89","133","4.1","3109","95.9","2243","72.15","63","3.99","1517","96.01","1051","69.28"
"Bangladesh","2018","8402","4373","4029","(0, 61)","29","(14, 46)","HepB-BD","8402","100","0","0","0","NaN","0","NaN","0","NaN","0","NaN","0","NaN","0","NaN","0","NaN","0","NaN"
"Bangladesh","2018","8402","4373","4029","(0, 61)","29","(14, 46)","HepB-D1","8402","100","5115","60.88","3242","63.38","1724","33.7","53","1.63","3189","98.37","2283","71.59","27","1.57","1697","98.43","1163","68.53"
"Bangladesh","2018","8402","4373","4029","(0, 61)","29","(14, 46)","HepB-D2","8402","100","5115","60.88","3242","63.38","1580","30.89","81","2.5","3161","97.5","2268","71.75","36","2.28","1544","97.72","1068","69.17"
"Bangladesh","2018","8402","4373","4029","(0, 61)","29","(14, 46)","HepB-D3","8402","100","5115","60.88","3242","63.38","1580","30.89","133","4.1","3109","95.9","2243","72.15","63","3.99","1517","96.01","1051","69.28"
