"country","birth_cohort","total_survey_children","total_male","total_female","age_range","median_age","age_iqr","vaccine","total_countries","no_countries_intro","prop_countries_intro","no_countries_notvax","prop_countries_notvax","coun_w_data","prop_coun_w_data","total_children_intro","prop_children_intro","total_w_data","prop_w_data","total_1ye_buff_intro","prop_1ye_buff_intro","total_2ye_buff_intro","prop_2ye_buff_intro","total_unvax1","prop_unvax1","total_vax1","prop_vax1","total_vax_date_data1","prop_vax_date1","total_unvax2","prop_unvax2","total_vax2","prop_vax2","total_vax_date_data2","prop_vax_date2"
"All","2006","489","254","235","(55, 61)","59","(58, 60)","BCG","3","3","100","0","0","2","67","489","100","214","43.76","214","100","214","100","6","2.8","208","97.2","107","51.44","6","2.8","208","97.2","107","51.44"
"All","2007","6128","3167","2961","(43, 60)","55","(52, 58)","BCG","7","7","100","0","0","6","86","6128","100","4968","81.07","4968","100","4968","100","382","7.69","4586","92.31","2484","54.16","382","7.69","4586","92.31","2484","54.16"
"All","2008","11587","5910","5677","(31, 60)","47","(42, 52)","BCG","12","12","100","0","0","12","100","11587","100","10780","93.04","10780","100","10780","100","1074","9.96","9706","90.04","5482","56.48","1074","9.96","9706","90.04","5482","56.48"
"All","2009","21450","10819","10631","(19, 60)","45","(34, 54)","BCG","17","17","100","0","0","17","100","21450","100","21357","99.57","21357","100","20821","97.49","3171","14.85","18186","85.15","8769","48.22","3093","14.86","17728","85.14","8462","47.73"
"All","2010","31431","15927","15504","(7, 61)","41","(25, 50)","BCG","21","21","100","0","0","17","81","31431","100","30409","96.75","29782","97.94","23469","77.18","4705","15.8","25077","84.2","13130","52.36","4137","17.63","19332","82.37","8920","46.14"
"All","2011","41575","21153","20422","(0, 61)","34","(19, 49)","BCG","28","28","100","0","0","21","75","41575","100","31761","76.39","24874","78.32","19914","62.7","4246","17.07","20628","82.93","10364","50.24","3723","18.7","16191","81.3","7015","43.33"
"All","2012","44962","22560","22402","(0, 61)","33","(18, 47)","BCG","33","33","100","0","0","25","76","44962","100","27578","61.34","22618","82.01","11925","43.24","3916","17.31","18702","82.69","9133","48.83","2112","17.71","9813","82.29","4940","50.34"
"All","2013","54156","27325","26831","(0, 61)","32","(14, 49)","BCG","33","33","100","0","0","22","67","54156","100","33402","61.68","22081","66.11","13710","41.05","3434","15.55","18647","84.45","10407","55.81","2151","15.69","11559","84.31","5500","47.58"
"All","2014","62297","31811","30486","(0, 61)","38","(19, 51)","BCG","38","38","100","0","0","24","63","62297","100","31029","49.81","21956","70.76","10723","34.56","2392","10.89","19564","89.11","11837","60.5","1086","10.13","9637","89.87","4905","50.9"
"All","2015","86955","44131","42824","(0, 61)","43","(25, 52)","BCG","33","33","100","0","0","25","76","86955","100","35271","40.56","23791","67.45","14270","40.46","2357","9.91","21434","90.09","13611","63.5","1642","11.51","12628","88.49","7532","59.65"
