"Vaccine","Characteristic","Levels","Data Available (n)","Data Not Available (n)","Data Available (%)","Data Not Availanle (%)","Chi2","Flag 5%","Flag 10%","Flag 20%"
"BCG","Sex at birth","Male","258861","120332","51","50.97","0.81451243530103","","",""
"","","Female","248738","115763","49","49.03","","","",""
"BCG","Health Card","No card","55979","330","11.21","38.33","0","*","**","***"
"","","Yes - Seen","334854","2","67.08","0.23","","*","**","***"
"","","Yes - Not Seen","67724","338","13.57","39.26","","*","**","***"
"","","Lost","39827","174","7.98","20.21","","*","**",""
"","","Other","838","17","0.17","1.97","","","",""
"BCG","Urban/Rural","Urban","153373","70174","30.22","29.72","1.63241636166791e-05","","",""
"","","Rural","354226","165921","69.78","70.28","","","",""
"BCG","Residence","City","1312","96","16.61","14.81","0.107605466595442","","",""
"","","Town","2289","212","28.97","32.72","","","",""
"","","Countryside","4300","340","54.42","52.47","","","",""
"BCG","Wealth Quintile","Poorest","132043","62285","26.01","26.38","0.00971065269421365","","",""
"","","Poor","112883","52180","22.24","22.1","","","",""
"","","Middle","100135","46408","19.73","19.66","","","",""
"","","Rich","88568","41218","17.45","17.46","","","",""
"","","Richest","73970","34004","14.57","14.4","","","",""
"BCG","Mother's Education","None","133547","71115","27.13","30.13","2.46799807782796e-188","","",""
"","","Primary","126513","55361","25.7","23.46","","","",""
"","","Secondary","184513","87698","37.48","37.16","","","",""
"","","Higher","47701","21830","9.69","9.25","","","",""
"BCG","Mother's Marital Status","Not married","20186","5724","3.99","2.51","1.08017851301353e-223","","",""
"","","Married/Living together","462605","210967","91.52","92.69","","","",""
"","","Widowed/Divorced/Not living together","22661","10906","4.48","4.79","","","",""
"BCG","Husband's Education","None","86741","37906","25.9","29.35","9.08682696316281e-148","","",""
"","","Primary","87957","33454","26.26","25.91","","","",""
"","","Secondary","124674","43930","37.22","34.02","","","",""
"","","Higher","35587","13848","10.62","10.72","","","",""
"BCG","Husband's Occupation","No work","14208","8290","4.18","6.43","0","","",""
"","","Prof/Manager/Clerical/Sales","76353","27589","22.48","21.41","","","",""
"","","Agricultural","122138","45590","35.96","35.38","","","",""
"","","Household/Services","42629","19824","12.55","15.39","","","",""
"","","Manual work","84291","27553","24.82","21.38","","","",""
"DTP-D1","Sex at birth","Male","253615","125578","51","50.97","0.792688104910006","","",""
"","","Female","243683","120818","49","49.03","","","",""
"DTP-D1","Health Card","No card","55567","742","11.18","22.94","0","*","**",""
"","","Yes - Seen","334542","314","67.33","9.71","","*","**","***"
"","","Yes - Not Seen","66688","1374","13.42","42.49","","*","**","***"
"","","Lost","39217","784","7.89","24.24","","*","**",""
"","","Other","835","20","0.17","0.62","","","",""
"DTP-D1","Urban/Rural","Urban","150287","73260","30.22","29.73","1.5731103562746e-05","","",""
"","","Rural","347011","173136","69.78","70.27","","","",""
"DTP-D1","Residence","City","1289","119","16.73","14.1","0.0672933206362505","","",""
"","","Town","2232","269","28.97","31.87","","","",""
"","","Countryside","4184","456","54.3","54.03","","","",""
"DTP-D1","Wealth Quintile","Poorest","129305","65023","26","26.39","0.00369271270060445","","",""
"","","Poor","110456","54607","22.21","22.16","","","",""
"","","Middle","98074","48469","19.72","19.67","","","",""
"","","Rich","86913","42873","17.48","17.4","","","",""
"","","Richest","72550","35424","14.59","14.38","","","",""
"DTP-D1","Mother's Education","None","130062","74600","26.98","30.29","2.66915800738814e-215","","",""
"","","Primary","123877","57997","25.7","23.55","","","",""
"","","Secondary","181276","90935","37.61","36.92","","","",""
"","","Higher","46784","22747","9.71","9.24","","","",""
"DTP-D1","Mother's Marital Status","Not married","19970","5940","4.02","2.52","1.37517511290199e-239","","",""
"","","Married/Living together","455261","218311","91.55","92.6","","","",""
"","","Widowed/Divorced/Not living together","22067","11500","4.44","4.88","","","",""
"DTP-D1","Husband's Education","None","85490","39157","26.08","28.74","1.03158232992985e-115","","",""
"","","Primary","85618","35793","26.12","26.27","","","",""
"","","Secondary","122165","46439","37.26","34.08","","","",""
"","","Higher","34562","14873","10.54","10.92","","","",""
"DTP-D1","Husband's Occupation","No work","13844","8654","4.16","6.37","0","","",""
"","","Prof/Manager/Clerical/Sales","74501","29441","22.4","21.68","","","",""
"","","Agricultural","120293","47435","36.16","34.93","","","",""
"","","Household/Services","42019","20434","12.63","15.05","","","",""
"","","Manual work","82000","29844","24.65","21.98","","","",""
"DTP-D2","Sex at birth","Male","253220","125973","51","50.96","0.729175411086103","","",""
"","","Female","243270","121231","49","49.04","","","",""
"DTP-D2","Health Card","No card","55510","799","11.19","19.78","0","*","",""
"","","Yes - Seen","334256","600","67.38","14.86","","*","**","***"
"","","Yes - Not Seen","66287","1775","13.36","43.95","","*","**","***"
"","","Lost","39157","844","7.89","20.9","","*","**",""
"","","Other","834","21","0.17","0.52","","","",""
"DTP-D2","Urban/Rural","Urban","149892","73655","30.19","29.8","0.000468850615096951","","",""
"","","Rural","346598","173549","69.81","70.2","","","",""
"DTP-D2","Residence","City","1260","148","16.55","15.8","0.191230807348312","","",""
"","","Town","2203","298","28.94","31.8","","","",""
"","","Countryside","4149","491","54.51","52.4","","","",""
"DTP-D2","Wealth Quintile","Poorest","129064","65264","26","26.4","0.00219297376547309","","",""
"","","Poor","110251","54812","22.21","22.17","","","",""
"","","Middle","97943","48600","19.73","19.66","","","",""
"","","Rich","86802","42984","17.48","17.39","","","",""
"","","Richest","72430","35544","14.59","14.38","","","",""
"DTP-D2","Mother's Education","None","129963","74699","27.01","30.23","7.50549467117678e-206","","",""
"","","Primary","123636","58238","25.69","23.57","","","",""
"","","Secondary","180949","91262","37.6","36.94","","","",""
"","","Higher","46658","22873","9.7","9.26","","","",""
"DTP-D2","Mother's Marital Status","Not married","19951","5959","4.02","2.52","5.86869184684376e-243","","",""
"","","Married/Living together","454561","219011","91.55","92.58","","","",""
"","","Widowed/Divorced/Not living together","21978","11589","4.43","4.9","","","",""
"DTP-D2","Husband's Education","None","85445","39202","26.12","28.63","8.5711323279991e-108","","",""
"","","Primary","85407","36004","26.1","26.3","","","",""
"","","Secondary","121859","46745","37.24","34.14","","","",""
"","","Higher","34473","14962","10.54","10.93","","","",""
"DTP-D2","Husband's Occupation","No work","13842","8656","4.17","6.35","0","","",""
"","","Prof/Manager/Clerical/Sales","74390","29552","22.39","21.69","","","",""
"","","Agricultural","120201","47527","36.18","34.88","","","",""
"","","Household/Services","41954","20499","12.63","15.04","","","",""
"","","Manual work","81814","30030","24.63","22.04","","","",""
"DTP-D3","Sex at birth","Male","253057","126136","51","50.96","0.74950130267537","","",""
"","","Female","243124","121377","49","49.04","","","",""
"DTP-D3","Health Card","No card","55510","799","11.2","18.38","0","*","",""
"","","Yes - Seen","333970","886","67.37","20.38","","*","**","***"
"","","Yes - Not Seen","66265","1797","13.37","41.33","","*","**","***"
"","","Lost","39157","844","7.9","19.41","","*","**",""
"","","Other","833","22","0.17","0.51","","","",""
"DTP-D3","Urban/Rural","Urban","149733","73814","30.18","29.82","0.00167795061182947","","",""
"","","Rural","346448","173699","69.82","70.18","","","",""
"DTP-D3","Residence","City","1260","148","16.55","15.8","0.191230807348312","","",""
"","","Town","2203","298","28.94","31.8","","","",""
"","","Countryside","4149","491","54.51","52.4","","","",""
"DTP-D3","Wealth Quintile","Poorest","128949","65379","25.99","26.41","0.00115459859814827","","",""
"","","Poor","110191","54872","22.21","22.17","","","",""
"","","Middle","97895","48648","19.73","19.65","","","",""
"","","Rich","86756","43030","17.48","17.38","","","",""
"","","Richest","72390","35584","14.59","14.38","","","",""
"DTP-D3","Mother's Education","None","129954","74708","27.02","30.2","1.80236707545317e-200","","",""
"","","Primary","123544","58330","25.69","23.58","","","",""
"","","Secondary","180803","91408","37.6","36.95","","","",""
"","","Higher","46596","22935","9.69","9.27","","","",""
"DTP-D3","Mother's Marital Status","Not married","19941","5969","4.02","2.52","3.8226630019113e-244","","",""
"","","Married/Living together","454305","219267","91.56","92.57","","","",""
"","","Widowed/Divorced/Not living together","21935","11632","4.42","4.91","","","",""
"DTP-D3","Husband's Education","None","85433","39214","26.13","28.58","2.5797992655854e-105","","",""
"","","Primary","85307","36104","26.1","26.32","","","",""
"","","Secondary","121748","46856","37.24","34.15","","","",""
"","","Higher","34417","15018","10.53","10.95","","","",""
"DTP-D3","Husband's Occupation","No work","13837","8661","4.17","6.34","0","","",""
"","","Prof/Manager/Clerical/Sales","74324","29618","22.39","21.69","","","",""
"","","Agricultural","120161","47567","36.2","34.83","","","",""
"","","Household/Services","41918","20535","12.63","15.04","","","",""
"","","Manual work","81672","30172","24.61","22.1","","","",""
"OPV-BD","Sex at birth","Male","220280","158913","50.94","51.05","0.366251673415516","","",""
"","","Female","212123","152378","49.06","48.95","","","",""
"OPV-BD","Health Card","No card","51942","4367","12.02","6.41","0","*","",""
"","","Yes - Seen","284631","50225","65.89","73.72","","*","",""
"","","Yes - Not Seen","58004","10058","13.43","14.76","","","",""
"","","Lost","36539","3462","8.46","5.08","","","",""
"","","Other","837","18","0.19","0.03","","","",""
"OPV-BD","Urban/Rural","Urban","122090","101457","28.24","32.59","0","","",""
"","","Rural","310313","209834","71.76","67.41","","","",""
"OPV-BD","Residence","City","115","1293","13.55","16.79","0.0296753478827024","","",""
"","","Town","244","2257","28.74","29.31","","","",""
"","","Countryside","490","4150","57.71","53.9","","","",""
"OPV-BD","Wealth Quintile","Poorest","109769","84559","25.39","27.16","2.04596222422072e-93","","",""
"","","Poor","95378","69685","22.06","22.39","","","",""
"","","Middle","86009","60534","19.89","19.45","","","",""
"","","Rich","76390","53396","17.67","17.15","","","",""
"","","Richest","64857","43117","15","13.85","","","",""
"OPV-BD","Mother's Education","None","125266","79396","30.03","25.51","0","","",""
"","","Primary","98714","83160","23.67","26.72","","","",""
"","","Secondary","155885","116326","37.37","37.38","","","",""
"","","Higher","37221","32310","8.92","10.38","","","",""
"OPV-BD","Mother's Marital Status","Not married","17870","8040","4.13","2.67","0","","",""
"","","Married/Living together","397364","276208","91.9","91.87","","","",""
"","","Widowed/Divorced/Not living together","17169","16398","3.97","5.45","","","",""
"OPV-BD","Husband's Education","None","81061","43586","30.48","22","0","*","",""
"","","Primary","61851","59560","23.25","30.06","","*","",""
"","","Secondary","95991","72613","36.09","36.65","","","",""
"","","Higher","27085","22350","10.18","11.28","","","",""
"OPV-BD","Husband's Occupation","No work","12018","10480","4.28","5.59","0","","",""
"","","Prof/Manager/Clerical/Sales","64292","39650","22.87","21.16","","","",""
"","","Agricultural","104944","62784","37.34","33.5","","","",""
"","","Household/Services","36513","25940","12.99","13.84","","","",""
"","","Manual work","63298","48546","22.52","25.91","","","",""
"OPV-D1","Sex at birth","Male","254243","124950","51","50.96","0.758385756424605","","",""
"","","Female","244269","120232","49","49.04","","","",""
"OPV-D1","Health Card","No card","55916","393","11.23","19.39","0","*","",""
"","","Yes - Seen","334847","9","67.23","0.44","","*","**","***"
"","","Yes - Not Seen","66902","1160","13.43","57.23","","*","**","***"
"","","Lost","39546","455","7.94","22.45","","*","**",""
"","","Other","845","10","0.17","0.49","","","",""
"OPV-D1","Urban/Rural","Urban","150750","72797","30.24","29.69","1.22677801372713e-06","","",""
"","","Rural","347762","172385","69.76","70.31","","","",""
"OPV-D1","Residence","City","1313","95","16.64","14.46","0.0839986757914242","","",""
"","","Town","2286","215","28.97","32.72","","","",""
"","","Countryside","4293","347","54.4","52.82","","","",""
"OPV-D1","Wealth Quintile","Poorest","129842","64486","26.05","26.3","0.21297402763673","","",""
"","","Poor","110774","54289","22.22","22.14","","","",""
"","","Middle","98299","48244","19.72","19.68","","","",""
"","","Rich","87071","42715","17.47","17.42","","","",""
"","","Richest","72526","35448","14.55","14.46","","","",""
"OPV-D1","Mother's Education","None","130430","74232","26.99","30.29","7.9695776646646e-217","","",""
"","","Primary","124259","57615","25.72","23.51","","","",""
"","","Secondary","181602","90609","37.58","36.97","","","",""
"","","Higher","46916","22615","9.71","9.23","","","",""
"OPV-D1","Mother's Marital Status","Not married","20087","5823","4.03","2.48","4.65301257929665e-252","","",""
"","","Married/Living together","456232","217340","91.52","92.67","","","",""
"","","Widowed/Divorced/Not living together","22193","11374","4.45","4.85","","","",""
"OPV-D1","Husband's Education","None","85740","38907","26.09","28.73","1.02217525748798e-110","","",""
"","","Primary","85948","35463","26.15","26.19","","","",""
"","","Secondary","122351","46253","37.23","34.15","","","",""
"","","Higher","34635","14800","10.54","10.93","","","",""
"OPV-D1","Husband's Occupation","No work","13859","8639","4.16","6.39","0","","",""
"","","Prof/Manager/Clerical/Sales","74553","29389","22.37","21.75","","","",""
"","","Agricultural","120571","47157","36.17","34.89","","","",""
"","","Household/Services","42047","20406","12.61","15.1","","","",""
"","","Manual work","82291","29553","24.69","21.87","","","",""
"OPV-D2","Sex at birth","Male","253480","125713","51","50.96","0.702921561617892","","",""
"","","Female","243506","120995","49","49.04","","","",""
"OPV-D2","Health Card","No card","55470","839","11.17","23.63","0","*","**",""
"","","Yes - Seen","334840","16","67.44","0.45","","*","**","***"
"","","Yes - Not Seen","66137","1925","13.32","54.23","","*","**","***"
"","","Lost","39241","760","7.9","21.41","","*","**",""
"","","Other","845","10","0.17","0.28","","","",""
"OPV-D2","Urban/Rural","Urban","150403","73144","30.26","29.65","5.22048404912326e-08","","",""
"","","Rural","346583","173564","69.74","70.35","","","",""
"OPV-D2","Residence","City","1316","92","16.65","14.29","0.0541019025700268","","",""
"","","Town","2288","213","28.94","33.07","","","",""
"","","Countryside","4301","339","54.41","52.64","","","",""
"OPV-D2","Wealth Quintile","Poorest","129472","64856","26.05","26.29","0.247667692453986","","",""
"","","Poor","110441","54622","22.22","22.14","","","",""
"","","Middle","97963","48580","19.71","19.69","","","",""
"","","Rich","86782","43004","17.46","17.43","","","",""
"","","Richest","72328","35646","14.55","14.45","","","",""
"OPV-D2","Mother's Education","None","129723","74939","26.93","30.39","1.69197614874738e-232","","",""
"","","Primary","123794","58080","25.7","23.56","","","",""
"","","Secondary","181313","90898","37.64","36.87","","","",""
"","","Higher","46887","22644","9.73","9.18","","","",""
"OPV-D2","Mother's Marital Status","Not married","20065","5845","4.04","2.48","7.79253476614559e-259","","",""
"","","Married/Living together","454839","218733","91.52","92.66","","","",""
"","","Widowed/Divorced/Not living together","22082","11485","4.44","4.87","","","",""
"OPV-D2","Husband's Education","None","85143","39504","26.02","28.87","9.58171699291596e-121","","",""
"","","Primary","85648","35763","26.17","26.14","","","",""
"","","Secondary","121899","46705","37.25","34.13","","","",""
"","","Higher","34568","14867","10.56","10.86","","","",""
"OPV-D2","Husband's Occupation","No work","13847","8651","4.17","6.34","0","","",""
"","","Prof/Manager/Clerical/Sales","74263","29679","22.37","21.74","","","",""
"","","Agricultural","119792","47936","36.09","35.11","","","",""
"","","Household/Services","41958","20495","12.64","15.01","","","",""
"","","Manual work","82069","29775","24.72","21.81","","","",""
"OPV-D3","Sex at birth","Male","253373","125820","51","50.96","0.71017589924655","","",""
"","","Female","243407","121094","49","49.04","","","",""
"OPV-D3","Health Card","No card","55457","852","11.17","22.68","0","*","**",""
"","","Yes - Seen","334824","32","67.46","0.85","","*","**","***"
"","","Yes - Not Seen","65990","2072","13.3","55.17","","*","**","***"
"","","Lost","39212","789","7.9","21.01","","*","**",""
"","","Other","844","11","0.17","0.29","","","",""
"OPV-D3","Urban/Rural","Urban","150282","73265","30.25","29.67","2.97178992784947e-07","","",""
"","","Rural","346498","173649","69.75","70.33","","","",""
"OPV-D3","Residence","City","1297","111","16.63","14.78","0.0680404477200439","","",""
"","","Town","2255","246","28.92","32.76","","","",""
"","","Countryside","4246","394","54.45","52.46","","","",""
"OPV-D3","Wealth Quintile","Poorest","129413","64915","26.05","26.29","0.23579633982447","","",""
"","","Poor","110387","54676","22.22","22.14","","","",""
"","","Middle","97924","48619","19.71","19.69","","","",""
"","","Rich","86753","43033","17.46","17.43","","","",""
"","","Richest","72303","35671","14.55","14.45","","","",""
"OPV-D3","Mother's Education","None","129708","74954","26.94","30.37","2.16637815184254e-229","","",""
"","","Primary","123746","58128","25.7","23.56","","","",""
"","","Secondary","181218","90993","37.64","36.87","","","",""
"","","Higher","46839","22692","9.73","9.2","","","",""
"OPV-D3","Mother's Marital Status","Not married","20055","5855","4.04","2.48","2.07332093466228e-258","","",""
"","","Married/Living together","454659","218913","91.52","92.65","","","",""
"","","Widowed/Divorced/Not living together","22066","11501","4.44","4.87","","","",""
"OPV-D3","Husband's Education","None","85136","39511","26.03","28.83","9.20705234070784e-117","","",""
"","","Primary","85607","35804","26.17","26.13","","","",""
"","","Secondary","121778","46826","37.23","34.17","","","",""
"","","Higher","34545","14890","10.56","10.87","","","",""
"OPV-D3","Husband's Occupation","No work","13844","8654","4.17","6.34","0","","",""
"","","Prof/Manager/Clerical/Sales","74260","29682","22.37","21.74","","","",""
"","","Agricultural","119788","47940","36.09","35.11","","","",""
"","","Household/Services","41954","20499","12.64","15.01","","","",""
"","","Manual work","82063","29781","24.72","21.81","","","",""
"IPV-D1","Sex at birth","Male","62683","316510","50.97","50.99","0.914559905284096","","",""
"","","Female","60289","304212","49.03","49.01","","","",""
"IPV-D1","Health Card","No card","16609","39700","13.51","10.53","0","","",""
"","","Yes - Seen","79254","255602","64.45","67.78","","","",""
"","","Yes - Not Seen","8723","59339","7.09","15.74","","*","",""
"","","Lost","17550","22451","14.27","5.95","","*","",""
"","","Other","835","20","0.68","0.01","","","",""
"IPV-D1","Urban/Rural","Urban","40596","182951","33.01","29.47","6.41821883297048e-135","","",""
"","","Rural","82376","437771","66.99","70.53","","","",""
"IPV-D1","Residence","City","0","1408","NaN","16.47","NaN",NA,NA,NA
"","","Town","0","2501","NaN","29.25","",NA,NA,NA
"","","Countryside","0","4640","NaN","54.28","",NA,NA,NA
"IPV-D1","Wealth Quintile","Poorest","32790","161538","26.66","26.02","5.340431190444e-13","","",""
"","","Poor","26324","138739","21.41","22.35","","","",""
"","","Middle","24305","122238","19.76","19.69","","","",""
"","","Rich","21408","108378","17.41","17.46","","","",""
"","","Richest","18145","89829","14.76","14.47","","","",""
"IPV-D1","Mother's Education","None","44401","160261","36.11","26.48","0","*","",""
"","","Primary","34254","147620","27.86","24.39","","","",""
"","","Secondary","34717","237494","28.23","39.24","","*","**",""
"","","Higher","9600","59931","7.81","9.9","","","",""
"IPV-D1","Mother's Marital Status","Not married","7189","18721","5.85","3.07","0","","",""
"","","Married/Living together","110083","563489","89.52","92.36","","","",""
"","","Widowed/Divorced/Not living together","5700","27867","4.64","4.57","","","",""
"IPV-D1","Husband's Education","None","36543","88104","35.43","24.41","0","*","**",""
"","","Primary","24419","96992","23.67","26.87","","","",""
"","","Secondary","29608","138996","28.71","38.51","","*","",""
"","","Higher","12575","36860","12.19","10.21","","","",""
"IPV-D1","Husband's Occupation","No work","6600","15898","6.31","4.37","0","","",""
"","","Prof/Manager/Clerical/Sales","26507","77435","25.35","21.28","","","",""
"","","Agricultural","35738","131990","34.18","36.27","","","",""
"","","Household/Services","8804","53649","8.42","14.74","","*","",""
"","","Manual work","26895","84949","25.73","23.34","","","",""
"IPV-D2","Sex at birth","Male","5142","374051","52.17","50.97","0.0190030048537857","","",""
"","","Female","4715","359786","47.83","49.03","","","",""
"IPV-D2","Health Card","No card","1126","55183","11.42","11.26","1.74435073745114e-15","","",""
"","","Yes - Seen","6563","328293","66.58","66.97","","","",""
"","","Yes - Not Seen","1199","66863","12.16","13.64","","","",""
"","","Lost","969","39032","9.83","7.96","","","",""
"","","Other","0","855","0","0.17","","","",""
"IPV-D2","Urban/Rural","Urban","3480","220067","35.3","29.99","3.17805841014114e-30","*","",""
"","","Rural","6377","513770","64.7","70.01","","*","",""
"IPV-D2","Residence","City","0","1408","NaN","16.47","NaN",NA,NA,NA
"","","Town","0","2501","NaN","29.25","",NA,NA,NA
"","","Countryside","0","4640","NaN","54.28","",NA,NA,NA
"IPV-D2","Wealth Quintile","Poorest","2756","191572","27.96","26.11","2.91433906210697e-12","","",""
"","","Poor","2122","162941","21.53","22.2","","","",""
"","","Middle","1753","144790","17.78","19.73","","","",""
