"Vaccine","Characteristic","Levels","Date Available (n)","Date Not Available (n)","Date Available (%)","Date Not Availanle (%)","Chi2","Flag 5%","Flag 10%","Flag 20%"
"BCG","Sex at birth","Male","158779","67012","51.17","50.81","0.0285397110284665","","",""
"","","Female","151543","64887","48.83","49.19","","","",""
"BCG","Health Card","No card","27","16564","0.01","13.21","0","*","**",""
"","","Yes - Seen","309814","14017","99.84","11.18","","*","**","***"
"","","Yes - Not Seen","51","58828","0.02","46.92","","*","**","***"
"","","Lost","30","35740","0.01","28.51","","*","**","***"
"","","Other","400","230","0.13","0.18","","","",""
"BCG","Urban/Rural","Urban","96079","44446","30.96","33.7","1.90462601249096e-71","","",""
"","","Rural","214243","87453","69.04","66.3","","","",""
"BCG","Residence","City","882","357","16.43","19.29","0.00115367283333017","","",""
"","","Town","1528","560","28.47","30.25","","","",""
"","","Countryside","2957","934","55.1","50.46","","","",""
"BCG","Wealth Quintile","Poorest","74447","33145","23.99","25.13","8.66793790220346e-31","","",""
"","","Poor","68605","28176","22.11","21.36","","","",""
"","","Middle","62787","25513","20.23","19.34","","","",""
"","","Rich","56432","23640","18.18","17.92","","","",""
"","","Richest","48051","21425","15.48","16.24","","","",""
"BCG","Mother's Education","None","67522","35219","22.05","27.79","0","*","",""
"","","Primary","77373","35054","25.27","27.66","","","",""
"","","Secondary","127221","45126","41.54","35.6","","*","",""
"","","Higher","34114","11346","11.14","8.95","","","",""
"BCG","Mother's Marital Status","Not married","12221","5779","3.94","4.45","2.34352471146698e-307","","",""
"","","Married/Living together","286316","115801","92.26","89.25","","","",""
"","","Widowed/Divorced/Not living together","11785","8172","3.8","6.3","","","",""
"BCG","Husband's Education","None","41370","22771","21.61","23.46","1.80370257485523e-103","","",""
"","","Primary","54059","23829","28.24","24.55","","","",""
"","","Secondary","73889","39242","38.59","40.43","","","",""
"","","Higher","22136","11212","11.56","11.55","","","",""
"BCG","Husband's Occupation","No work","7559","3923","4.01","3.93","1.82513009859907e-222","","",""
"","","Prof/Manager/Clerical/Sales","41390","25346","21.96","25.39","","","",""
"","","Agricultural","61868","34340","32.83","34.39","","","",""
"","","Household/Services","27548","11069","14.62","11.09","","","",""
"","","Manual work","50072","25164","26.57","25.2","","","",""
"DTP-D1","Sex at birth","Male","142586","65593","51.18","50.96","0.191469077518519","","",""
"","","Female","136017","63126","48.82","49.04","","","",""
"DTP-D1","Health Card","No card","24","13506","0.01","10.5","0","*","**",""
"","","Yes - Seen","278073","26367","99.81","20.5","","*","**","***"
"","","Yes - Not Seen","49","55349","0.02","43.03","","*","**","***"
"","","Lost","30","33198","0.01","25.81","","*","**","***"
"","","Other","427","220","0.15","0.17","","","",""
"DTP-D1","Urban/Rural","Urban","86926","42113","31.2","32.72","4.14600459383599e-22","","",""
"","","Rural","191677","86606","68.8","67.28","","","",""
"DTP-D1","Residence","City","915","255","16.36","21.11","3.28429860249626e-05","","",""
"","","Town","1598","362","28.57","29.97","","","",""
"","","Countryside","3080","591","55.07","48.92","","*","",""
"DTP-D1","Wealth Quintile","Poorest","67173","31552","24.11","24.51","1.49170547713489e-19","","",""
"","","Poor","61209","27389","21.97","21.28","","","",""
"","","Middle","56199","24996","20.17","19.42","","","",""
"","","Rich","50607","23592","18.16","18.33","","","",""
"","","Richest","43415","21190","15.58","16.46","","","",""
"DTP-D1","Mother's Education","None","60758","31464","22.22","25.44","2.7134778993694e-120","","",""
"","","Primary","71545","32283","26.17","26.1","","","",""
"","","Secondary","111779","47082","40.89","38.06","","","",""
"","","Higher","29301","12863","10.72","10.4","","","",""
"DTP-D1","Mother's Marital Status","Not married","11229","5201","4.03","4.04","5.61884180651788e-143","","",""
"","","Married/Living together","256277","116080","91.99","90.18","","","",""
"","","Widowed/Divorced/Not living together","11097","7438","3.98","5.78","","","",""
"DTP-D1","Husband's Education","None","38355","20403","21.79","22.75","7.41085604712793e-176","","",""
"","","Primary","50801","21267","28.86","23.71","","*","",""
"","","Secondary","67268","37034","38.21","41.29","","","",""
"","","Higher","19606","10990","11.14","12.25","","","",""
"DTP-D1","Husband's Occupation","No work","7075","3421","4.07","3.68","9.38072566760405e-113","","",""
"","","Prof/Manager/Clerical/Sales","38262","23333","22","25.1","","","",""
"","","Agricultural","57486","31733","33.06","34.13","","","",""
"","","Household/Services","24286","11397","13.97","12.26","","","",""
"","","Manual work","46779","23082","26.9","24.83","","","",""
"DTP-D2","Sex at birth","Male","138159","52392","51.22","50.88","0.0684483579151246","","",""
"","","Female","131603","50578","48.78","49.12","","","",""
"DTP-D2","Health Card","No card","24","10325","0.01","10.03","0","*","**",""
"","","Yes - Seen","269270","14472","99.82","14.06","","*","**","***"
"","","Yes - Not Seen","42","49403","0.02","48","","*","**","***"
"","","Lost","29","28515","0.01","27.71","","*","**","***"
"","","Other","397","201","0.15","0.2","","","",""
"DTP-D2","Urban/Rural","Urban","83623","34538","31","33.54","2.61740652931689e-50","","",""
"","","Rural","186139","68432","69","66.46","","","",""
"DTP-D2","Residence","City","849","177","16.15","21.22","6.07213936451059e-05","*","",""
"","","Town","1508","258","28.68","30.94","","","",""
"","","Countryside","2901","399","55.17","47.84","","*","",""
"DTP-D2","Wealth Quintile","Poorest","64111","25066","23.77","24.34","2.61245916428505e-28","","",""
"","","Poor","59079","21531","21.9","20.91","","","",""
"","","Middle","54473","19925","20.19","19.35","","","",""
"","","Rich","49523","18980","18.36","18.43","","","",""
"","","Richest","42576","17468","15.78","16.96","","","",""
"DTP-D2","Mother's Education","None","57125","25331","21.55","25.71","1.16152988496987e-198","","",""
"","","Primary","68464","26230","25.83","26.62","","","",""
"","","Secondary","110193","36794","41.57","37.34","","","",""
"","","Higher","29294","10170","11.05","10.32","","","",""
"DTP-D2","Mother's Marital Status","Not married","10448","4210","3.87","4.09","2.49171621427003e-176","","",""
"","","Married/Living together","248613","92463","92.16","89.8","","","",""
