"country","vaccine","vax_week_1","vax_week_2","vax_week_3","vax_week_4","vax_week_5","vax_week_6","vax_week_7","vax_week_8","vax_week_9","vax_week_10","vax_week_11","vax_week_12","vax_week_13","vax_week_14","vax_week_15","vax_week_16","vax_week_17","vax_week_18","vax_week_19","vax_week_20","vax_week_21","vax_week_22","vax_week_23","vax_week_24","vax_week_25","vax_week_26","vax_week_27","vax_week_28","vax_week_29","vax_week_30","vax_week_31","vax_week_32","vax_week_33","vax_week_34","vax_week_35","vax_week_36","vax_week_37","vax_week_38","vax_week_39","vax_week_40","vax_week_41","vax_week_42","vax_week_43","vax_week_44","vax_week_45","vax_week_46","vax_week_47","vax_week_48","vax_week_49","vax_week_50","vax_week_51","vax_week_52","vax_week_53","vax_week_54","vax_week_55","vax_week_56","vax_week_57","vax_week_58","vax_week_59","vax_week_60","vax_week_61","vax_week_62","vax_week_63","vax_week_64","vax_week_65","vax_week_66","vax_week_67","vax_week_68","vax_week_69","vax_week_70","vax_week_71","vax_week_72","vax_week_73","vax_week_74","vax_week_75","vax_week_76","vax_week_77","vax_week_78","vax_week_79","vax_week_80","vax_week_81","vax_week_82","vax_week_83","vax_week_84","vax_week_85","vax_week_86","vax_week_87","vax_week_88","vax_week_89","vax_week_90","vax_week_91","vax_week_92","vax_week_93","vax_week_94","vax_week_95","vax_week_96","vax_week_97","vax_week_98","vax_week_99","vax_week_100","vax_week_101","vax_week_102","vax_week_103","vax_week_104","vax_week_105","vax_week_106","vax_week_107","vax_week_108","vax_week_109","vax_week_110","vax_week_111","vax_week_112","vax_week_113","vax_week_114","vax_week_115","vax_week_116","vax_week_117","vax_week_118","vax_week_119","vax_week_120","vax_week_121","vax_week_122","vax_week_123","vax_week_124","vax_week_125","vax_week_126","vax_week_127","vax_week_128","vax_week_129","vax_week_130","vax_week_131","vax_week_132","vax_week_133","vax_week_134","vax_week_135","vax_week_136","vax_week_137","vax_week_138","vax_week_139","vax_week_140","vax_week_141","vax_week_142","vax_week_143","vax_week_144","vax_week_145","vax_week_146","vax_week_147","vax_week_148","vax_week_149","vax_week_150","vax_week_151","vax_week_152","vax_week_153","vax_week_154","vax_week_155","vax_week_156","vax_week_157","vax_week_158","vax_week_159","vax_week_160","vax_week_161","vax_week_162","vax_week_163","vax_week_164","vax_week_165","vax_week_166","vax_week_167","vax_week_168","vax_week_169","vax_week_170","vax_week_171","vax_week_172","vax_week_173","vax_week_174","vax_week_175","vax_week_176","vax_week_177","vax_week_178","vax_week_179","vax_week_180","vax_week_181","vax_week_182","vax_week_183","vax_week_184","vax_week_185","vax_week_186","vax_week_187","vax_week_188","vax_week_189","vax_week_190","vax_week_191","vax_week_192","vax_week_193","vax_week_194","vax_week_195","vax_week_196","vax_week_197","vax_week_198","vax_week_199","vax_week_200","vax_week_201","vax_week_202","vax_week_203","vax_week_204","vax_week_205","vax_week_206","vax_week_207","vax_week_208","vax_week_209","vax_week_210","vax_week_211","vax_week_212","vax_week_213","vax_week_214","vax_week_215","vax_week_216","vax_week_217","vax_week_218","vax_week_219","vax_week_220","vax_week_221","vax_week_222","vax_week_223","vax_week_224","vax_week_225","vax_week_226","vax_week_227","vax_week_228","vax_week_229","vax_week_230","vax_week_231","vax_week_232","vax_week_233","vax_week_234","vax_week_235","vax_week_236","vax_week_237","vax_week_238","vax_week_239","vax_week_240","vax_week_241","vax_week_242","vax_week_243","vax_week_244","vax_week_245","vax_week_246","vax_week_247","vax_week_248","vax_week_249","vax_week_250","vax_week_251","vax_week_252","vax_week_253","vax_week_254","vax_week_255","vax_week_256","vax_week_257","vax_week_258","vax_week_259","vax_week_260"
"Angola","BCG",30.527988,40.974828,45.993408,49.02504,51.797208,53.750016,55.54578,56.556324,57.682944,58.543272,59.328492,59.888388,60.263928,60.714576,61.165224,61.499796,61.841196,62.025552,62.250876,62.401092,62.626416,62.926848,63.036096,63.145344,63.29556,63.411636,63.486744,63.595992,63.712068,63.896424,64.087608,64.196856,64.237824,64.312932,64.38804,64.497288,64.497288,64.572396,64.681644,64.756752,64.982076,65.023044,65.057184,65.17326,65.2074,65.282508,65.357616,65.473692,65.473692,65.58294,65.917512,66.36816,66.634452,66.969024,67.11924,67.194348,67.303596,67.419672,67.419672,67.453812,67.49478,67.52892,67.52892,67.52892,67.52892,67.52892,67.604028,67.604028,67.604028,67.604028,67.604028,67.644996,67.644996,67.720104,67.720104,67.720104,67.720104,67.754244,67.754244,67.795212,67.829352,67.829352,67.829352,67.829352,67.829352,67.829352,67.829352,67.829352,67.90446,67.90446,67.90446,67.90446,67.90446,67.90446,67.90446,67.90446,67.90446,67.90446,67.90446,67.90446,67.90446,67.90446,67.90446,67.979568,68.054676,68.129784,68.170752,68.170752,68.170752,68.204892,68.204892,68.24586,68.24586,68.24586,68.24586,68.24586,68.24586,68.24586,68.24586,68.24586,68.24586,68.24586,68.24586,68.28,68.28,68.28,68.28,68.28,68.28,68.28,68.28,68.28,68.28,68.28,68.28,68.28,68.28,68.28,68.28,68.28,68.28,68.28,68.28,68.28,68.28,68.28,68.28,68.28,68.28,68.28,68.28,68.28,68.28,68.28,68.28,68.28,68.28,68.28,68.28,68.28,68.28,68.28,68.28,68.28,68.28,68.28,68.28,68.28,68.28,68.28,68.28,68.28,68.28,68.28,68.28,68.28,68.28,68.28,68.28,68.28,68.28,68.28,68.28,68.28,68.28,68.28,68.28,68.28,68.28,68.28,68.28,68.28,68.28,68.28,68.28,68.28,68.28,68.28,68.28,68.28,68.28,68.28,68.28,68.28,68.28,68.28,68.28,68.28,68.28,68.28,68.28,68.28,68.28,68.28,68.28,68.28,68.28,68.28,68.28,68.28,68.28,68.28,68.28,68.28,68.28,68.28,68.28,68.28,68.28,68.28,68.28,68.28,68.28,68.28,68.28,68.28,68.28,68.28,68.28,68.28,68.28,68.28,68.28,68.28,68.28,68.28,68.28,68.28,68.28,68.28,68.28,68.28,68.28,68.28,68.28,68.28,68.28,68.28,68.28,68.28
"Angola","DTP-D1",0.299061,0.559944,0.897183,1.380771,1.902537,2.538837,7.495614,14.959413,23.943969,34.385652,40.875912,44.871876,47.219823,49.459599,50.834007,51.915717,53.226495,54.270027,55.351737,55.682613,56.471625,57.101562,57.623328,57.922389,58.259628,58.444155,58.781394,59.042277,59.118633,59.379516,59.640399,59.678577,59.678577,59.716755,59.824926,60.047631,60.085809,60.308514,60.423048,60.569397,60.722109,60.760287,60.868458,60.906636,60.944814,61.02117,61.091163,61.243875,61.320231,61.390224,61.46658,61.542936,61.612929,61.651107,61.727463,61.880175,61.880175,61.91199,62.026524,62.211051,62.401941,62.586468,62.732817,62.809173,62.809173,62.885529,62.9937,62.9937,63.031878,63.031878,63.031878,63.031878,63.031878,63.031878,63.031878,63.031878,63.070056,63.070056,63.108234,63.108234,63.108234,63.108234,63.146412,63.146412,63.146412,63.146412,63.18459,63.18459,63.18459,63.18459,63.18459,63.18459,63.222768,63.254583,63.292761,63.292761,63.292761,63.292761,63.292761,63.292761,63.292761,63.292761,63.292761,63.330939,63.330939,63.330939,63.330939,63.330939,63.330939,63.330939,63.330939,63.369117,63.407295,63.445473,63.483651,63.483651,63.483651,63.483651,63.483651,63.483651,63.515466,63.515466,63.515466,63.63,63.63,63.63,63.63,63.63,63.63,63.63,63.63,63.63,63.63,63.63,63.63,63.63,63.63,63.63,63.63,63.63,63.63,63.63,63.63,63.63,63.63,63.63,63.63,63.63,63.63,63.63,63.63,63.63,63.63,63.63,63.63,63.63,63.63,63.63,63.63,63.63,63.63,63.63,63.63,63.63,63.63,63.63,63.63,63.63,63.63,63.63,63.63,63.63,63.63,63.63,63.63,63.63,63.63,63.63,63.63,63.63,63.63,63.63,63.63,63.63,63.63,63.63,63.63,63.63,63.63,63.63,63.63,63.63,63.63,63.63,63.63,63.63,63.63,63.63,63.63,63.63,63.63,63.63,63.63,63.63,63.63,63.63,63.63,63.63,63.63,63.63,63.63,63.63,63.63,63.63,63.63,63.63,63.63,63.63,63.63,63.63,63.63,63.63,63.63,63.63,63.63,63.63,63.63,63.63,63.63,63.63,63.63,63.63,63.63,63.63,63.63,63.63,63.63,63.63,63.63,63.63,63.63,63.63,63.63,63.63,63.63,63.63,63.63,63.63,63.63,63.63,63.63,63.63,63.63,63.63,63.63,63.63,63.63,63.63,63.63,63.63
"Angola","DTP-D2",0.032872,0.032872,0.032872,0.032872,0.061048,0.09392,0.09392,0.154968,0.497776,0.779536,1.183392,1.685864,2.056848,2.27756,2.836384,7.358632,12.599368,18.398928,25.691816,29.063544,31.899928,33.675016,34.9852,36.140416,37.107792,38.291184,39.225688,40.193064,40.69084,41.06652,41.691088,42.001024,42.376704,42.564544,42.78056,42.935528,43.123368,43.278336,43.499048,43.654016,43.902904,44.029696,44.184664,44.245712,44.311456,44.311456,44.433552,44.466424,44.58852,44.621392,44.68244,44.715312,44.809232,44.837408,44.903152,44.9642,45.090992,45.15204,45.24596,45.307008,45.400928,45.461976,45.52772,45.588768,45.616944,45.710864,45.743736,45.837656,45.931576,46.119416,46.213336,46.241512,46.274384,46.335432,46.39648,46.462224,46.4904,46.4904,46.523272,46.523272,46.523272,46.523272,46.58432,46.58432,46.58432,46.58432,46.58432,46.58432,46.58432,46.617192,46.617192,46.617192,46.617192,46.617192,46.617192,46.617192,46.617192,46.650064,46.650064,46.650064,46.650064,46.650064,46.650064,46.650064,46.67824,46.67824,46.67824,46.67824,46.711112,46.743984,46.743984,46.743984,46.743984,46.743984,46.743984,46.743984,46.743984,46.743984,46.743984,46.743984,46.77216,46.77216,46.77216,46.77216,46.77216,46.805032,46.833208,46.86608,46.86608,46.86608,46.898952,46.898952,46.898952,46.898952,46.898952,46.898952,46.898952,46.898952,46.898952,46.927128,46.927128,46.927128,46.927128,46.927128,46.96,46.96,46.96,46.96,46.96,46.96,46.96,46.96,46.96,46.96,46.96,46.96,46.96,46.96,46.96,46.96,46.96,46.96,46.96,46.96,46.96,46.96,46.96,46.96,46.96,46.96,46.96,46.96,46.96,46.96,46.96,46.96,46.96,46.96,46.96,46.96,46.96,46.96,46.96,46.96,46.96,46.96,46.96,46.96,46.96,46.96,46.96,46.96,46.96,46.96,46.96,46.96,46.96,46.96,46.96,46.96,46.96,46.96,46.96,46.96,46.96,46.96,46.96,46.96,46.96,46.96,46.96,46.96,46.96,46.96,46.96,46.96,46.96,46.96,46.96,46.96,46.96,46.96,46.96,46.96,46.96,46.96,46.96,46.96,46.96,46.96,46.96,46.96,46.96,46.96,46.96,46.96,46.96,46.96,46.96,46.96,46.96,46.96,46.96,46.96,46.96,46.96,46.96,46.96,46.96,46.96,46.96,46.96,46.96,46.96,46.96,46.96,46.96,46.96,46.96,46.96
"Angola","DTP-D3",0,0,0,0,0,0,0,0,0.028888,0.054165,0.054165,0.054165,0.191383,0.303324,0.465819,0.79442,1.068856,1.126632,1.343292,1.617728,2.004105,2.303818,2.495201,3.484615,6.915065,10.97744,15.8884,20.579089,22.882907,24.504246,26.150862,27.494154,28.209132,28.837446,29.469371,29.964078,30.401009,30.870439,31.19904,31.773189,32.213731,32.517055,32.762603,32.982874,33.145369,33.311475,33.340363,33.557023,33.668964,33.806182,33.831459,33.968677,34.05173,34.188948,34.297278,34.355054,34.380331,34.463384,34.463384,34.463384,34.546437,34.571714,34.571714,34.654767,34.708932,34.708932,34.791985,34.84615,34.875038,34.903926,34.903926,34.903926,34.958091,34.958091,35.012256,35.012256,35.149474,35.286692,35.340857,35.452798,35.506963,35.53224,35.669458,35.698346,35.727234,35.752511,35.806676,35.806676,35.806676,35.806676,35.806676,35.806676,35.806676,35.806676,35.806676,35.806676,35.806676,35.835564,35.835564,35.835564,35.864452,35.864452,35.864452,35.864452,35.889729,35.918617,35.918617,35.918617,35.918617,35.918617,35.918617,35.943894,35.943894,35.972782,35.972782,35.972782,35.972782,35.972782,36.00167,36.026947,36.026947,36.026947,36.026947,36.026947,36.026947,36.055835,36.055835,36.055835,36.055835,36.081112,36.081112,36.081112,36.081112,36.081112,36.081112,36.081112,36.081112,36.081112,36.081112,36.081112,36.081112,36.081112,36.081112,36.081112,36.11,36.11,36.11,36.11,36.11,36.11,36.11,36.11,36.11,36.11,36.11,36.11,36.11,36.11,36.11,36.11,36.11,36.11,36.11,36.11,36.11,36.11,36.11,36.11,36.11,36.11,36.11,36.11,36.11,36.11,36.11,36.11,36.11,36.11,36.11,36.11,36.11,36.11,36.11,36.11,36.11,36.11,36.11,36.11,36.11,36.11,36.11,36.11,36.11,36.11,36.11,36.11,36.11,36.11,36.11,36.11,36.11,36.11,36.11,36.11,36.11,36.11,36.11,36.11,36.11,36.11,36.11,36.11,36.11,36.11,36.11,36.11,36.11,36.11,36.11,36.11,36.11,36.11,36.11,36.11,36.11,36.11,36.11,36.11,36.11,36.11,36.11,36.11,36.11,36.11,36.11,36.11,36.11,36.11,36.11,36.11,36.11,36.11,36.11,36.11,36.11,36.11,36.11,36.11,36.11,36.11,36.11,36.11,36.11,36.11,36.11,36.11,36.11,36.11,36.11,36.11
"Angola","OPV-BD",28.029978,37.775103,42.416781,45.187395,47.724126,49.589193,51.124425,51.892041,52.863555,53.361306,53.996988,54.494739,54.764604,55.100436,55.53222,55.796088,55.964004,56.167902,56.329821,56.365803,56.497737,56.635668,56.665653,56.767602,56.863554,56.863554,56.899536,56.965503,57.097437,57.265353,57.33132,57.433269,57.433269,57.469251,57.499236,57.535218,57.565203,57.565203,57.601185,57.63117,57.835068,57.865053,57.865053,57.937017,58.032969,58.068951,58.164903,58.266852,58.266852,58.332819,58.632669,58.866552,59.004483,59.166402,59.304333,59.3703,59.436267,59.472249,59.502234,59.502234,59.538216,59.604183,59.604183,59.604183,59.604183,59.604183,59.67015,59.67015,59.67015,59.67015,59.67015,59.700135,59.700135,59.736117,59.736117,59.736117,59.772099,59.772099,59.772099,59.802084,59.802084,59.802084,59.802084,59.802084,59.802084,59.802084,59.802084,59.802084,59.838066,59.838066,59.838066,59.838066,59.838066,59.838066,59.868051,59.868051,59.868051,59.868051,59.868051,59.868051,59.868051,59.868051,59.868051,59.868051,59.868051,59.868051,59.904033,59.904033,59.904033,59.934018,59.934018,59.97,59.97,59.97,59.97,59.97,59.97,59.97,59.97,59.97,59.97,59.97,59.97,59.97,59.97,59.97,59.97,59.97,59.97,59.97,59.97,59.97,59.97,59.97,59.97,59.97,59.97,59.97,59.97,59.97,59.97,59.97,59.97,59.97,59.97,59.97,59.97,59.97,59.97,59.97,59.97,59.97,59.97,59.97,59.97,59.97,59.97,59.97,59.97,59.97,59.97,59.97,59.97,59.97,59.97,59.97,59.97,59.97,59.97,59.97,59.97,59.97,59.97,59.97,59.97,59.97,59.97,59.97,59.97,59.97,59.97,59.97,59.97,59.97,59.97,59.97,59.97,59.97,59.97,59.97,59.97,59.97,59.97,59.97,59.97,59.97,59.97,59.97,59.97,59.97,59.97,59.97,59.97,59.97,59.97,59.97,59.97,59.97,59.97,59.97,59.97,59.97,59.97,59.97,59.97,59.97,59.97,59.97,59.97,59.97,59.97,59.97,59.97,59.97,59.97,59.97,59.97,59.97,59.97,59.97,59.97,59.97,59.97,59.97,59.97,59.97,59.97,59.97,59.97,59.97,59.97,59.97,59.97,59.97,59.97,59.97,59.97,59.97,59.97,59.97,59.97,59.97,59.97,59.97,59.97,59.97,59.97,59.97,59.97,59.97
"Angola","OPV-D1",0.103394,0.316264,0.66902,1.15558,1.715124,2.31116,7.049038,14.23188,22.923058,32.848882,39.052522,42.90851,45.183178,47.28755,48.692492,49.671694,50.900258,51.87946,53.071532,53.424288,54.087226,54.652852,55.07251,55.279298,55.668546,55.875334,56.191598,56.367976,56.44096,56.68424,56.92752,56.964012,56.964012,57.067406,57.207292,57.38367,57.420162,57.663442,57.772918,57.876312,58.016198,58.0831,58.192576,58.222986,58.259478,58.29597,58.368954,58.472348,58.53925,58.679136,58.75212,58.855514,58.892006,58.928498,58.9954,59.135286,59.135286,59.171778,59.275172,59.45155,59.591436,59.804306,59.944192,60.047586,60.047586,60.15098,60.260456,60.260456,60.296948,60.296948,60.296948,60.296948,60.296948,60.327358,60.327358,60.327358,60.36385,60.36385,60.400342,60.400342,60.436834,60.436834,60.467244,60.467244,60.503736,60.503736,60.540228,60.540228,60.540228,60.57672,60.57672,60.57672,60.60713,60.60713,60.643622,60.643622,60.643622,60.643622,60.643622,60.643622,60.643622,60.643622,60.643622,60.643622,60.643622,60.643622,60.643622,60.643622,60.643622,60.643622,60.643622,60.680114,60.680114,60.716606,60.716606,60.716606,60.716606,60.716606,60.716606,60.716606,60.747016,60.747016,60.747016,60.82,60.82,60.82,60.82,60.82,60.82,60.82,60.82,60.82,60.82,60.82,60.82,60.82,60.82,60.82,60.82,60.82,60.82,60.82,60.82,60.82,60.82,60.82,60.82,60.82,60.82,60.82,60.82,60.82,60.82,60.82,60.82,60.82,60.82,60.82,60.82,60.82,60.82,60.82,60.82,60.82,60.82,60.82,60.82,60.82,60.82,60.82,60.82,60.82,60.82,60.82,60.82,60.82,60.82,60.82,60.82,60.82,60.82,60.82,60.82,60.82,60.82,60.82,60.82,60.82,60.82,60.82,60.82,60.82,60.82,60.82,60.82,60.82,60.82,60.82,60.82,60.82,60.82,60.82,60.82,60.82,60.82,60.82,60.82,60.82,60.82,60.82,60.82,60.82,60.82,60.82,60.82,60.82,60.82,60.82,60.82,60.82,60.82,60.82,60.82,60.82,60.82,60.82,60.82,60.82,60.82,60.82,60.82,60.82,60.82,60.82,60.82,60.82,60.82,60.82,60.82,60.82,60.82,60.82,60.82,60.82,60.82,60.82,60.82,60.82,60.82,60.82,60.82,60.82,60.82,60.82,60.82,60.82,60.82,60.82,60.82,60.82
"Angola","OPV-D2",0.03493,0.06487,0.06487,0.06487,0.0998,0.12974,0.12974,0.19461,0.48902,0.77844,1.20259,1.65668,2.11077,2.34031,2.92414,7.76444,13.31831,19.39613,27.03083,30.60367,33.42801,35.3791,36.71143,38.0737,39.08168,40.47888,41.48686,42.52478,43.07867,43.46789,44.21639,44.57068,44.92996,45.12457,45.31918,45.54872,45.74333,45.87307,46.09762,46.29223,46.58664,46.68145,46.84612,46.94592,47.01079,47.01079,47.2054,47.27027,47.40001,47.42995,47.46488,47.46488,47.55969,47.59462,47.65949,47.72436,47.8541,47.91897,48.01378,48.07865,48.17845,48.24332,48.30819,48.37306,48.40799,48.5028,48.53773,48.66747,48.76228,48.95689,49.05669,49.08663,49.12156,49.1515,49.21637,49.28124,49.31617,49.34611,49.41098,49.41098,49.41098,49.41098,49.47585,49.47585,49.47585,49.47585,49.47585,49.51078,49.51078,49.54072,49.54072,49.54072,49.57565,49.57565,49.57565,49.57565,49.57565,49.60559,49.60559,49.60559,49.60559,49.60559,49.60559,49.60559,49.64052,49.64052,49.64052,49.64052,49.67046,49.70539,49.70539,49.70539,49.70539,49.70539,49.70539,49.73533,49.73533,49.73533,49.73533,49.73533,49.77026,49.77026,49.77026,49.77026,49.77026,49.8002,49.83513,49.86507,49.86507,49.86507,49.86507,49.86507,49.86507,49.86507,49.86507,49.86507,49.86507,49.86507,49.86507,49.86507,49.86507,49.86507,49.86507,49.86507,49.9,49.9,49.9,49.9,49.9,49.9,49.9,49.9,49.9,49.9,49.9,49.9,49.9,49.9,49.9,49.9,49.9,49.9,49.9,49.9,49.9,49.9,49.9,49.9,49.9,49.9,49.9,49.9,49.9,49.9,49.9,49.9,49.9,49.9,49.9,49.9,49.9,49.9,49.9,49.9,49.9,49.9,49.9,49.9,49.9,49.9,49.9,49.9,49.9,49.9,49.9,49.9,49.9,49.9,49.9,49.9,49.9,49.9,49.9,49.9,49.9,49.9,49.9,49.9,49.9,49.9,49.9,49.9,49.9,49.9,49.9,49.9,49.9,49.9,49.9,49.9,49.9,49.9,49.9,49.9,49.9,49.9,49.9,49.9,49.9,49.9,49.9,49.9,49.9,49.9,49.9,49.9,49.9,49.9,49.9,49.9,49.9,49.9,49.9,49.9,49.9,49.9,49.9,49.9,49.9,49.9,49.9,49.9,49.9,49.9,49.9,49.9,49.9,49.9,49.9,49.9
"Angola","OPV-D3",0,0,0,0,0,0,0,0,0.026278,0.05631,0.05631,0.05631,0.195208,0.307828,0.473004,0.7508,0.972286,1.002318,1.167494,1.44529,1.865738,2.113502,2.338742,3.311028,6.899852,10.965434,16.251066,21.011138,23.402436,25.185586,26.687186,28.02361,28.77441,29.52521,30.137112,30.722736,31.13943,31.612434,32.00285,32.614752,33.114034,33.39183,33.643348,33.921144,34.116352,34.285282,34.36787,34.619388,34.728254,34.814596,34.867152,35.036082,35.144948,35.2876,35.396466,35.452776,35.479054,35.565396,35.591674,35.591674,35.674262,35.704294,35.704294,35.760604,35.81316,35.843192,35.952058,36.008368,36.064678,36.064678,36.09471,36.09471,36.147266,36.177298,36.233608,36.233608,36.425062,36.537682,36.62027,36.706612,36.759168,36.815478,36.928098,36.954376,36.984408,37.010686,37.066996,37.093274,37.149584,37.179616,37.179616,37.179616,37.179616,37.179616,37.179616,37.179616,37.179616,37.179616,37.179616,37.205894,37.232172,37.232172,37.232172,37.232172,37.232172,37.262204,37.262204,37.262204,37.262204,37.262204,37.262204,37.288482,37.288482,37.318514,37.318514,37.318514,37.318514,37.318514,37.344792,37.374824,37.374824,37.374824,37.374824,37.374824,37.374824,37.401102,37.401102,37.42738,37.42738,37.48369,37.48369,37.48369,37.48369,37.48369,37.48369,37.48369,37.48369,37.48369,37.48369,37.48369,37.48369,37.48369,37.48369,37.48369,37.513722,37.54,37.54,37.54,37.54,37.54,37.54,37.54,37.54,37.54,37.54,37.54,37.54,37.54,37.54,37.54,37.54,37.54,37.54,37.54,37.54,37.54,37.54,37.54,37.54,37.54,37.54,37.54,37.54,37.54,37.54,37.54,37.54,37.54,37.54,37.54,37.54,37.54,37.54,37.54,37.54,37.54,37.54,37.54,37.54,37.54,37.54,37.54,37.54,37.54,37.54,37.54,37.54,37.54,37.54,37.54,37.54,37.54,37.54,37.54,37.54,37.54,37.54,37.54,37.54,37.54,37.54,37.54,37.54,37.54,37.54,37.54,37.54,37.54,37.54,37.54,37.54,37.54,37.54,37.54,37.54,37.54,37.54,37.54,37.54,37.54,37.54,37.54,37.54,37.54,37.54,37.54,37.54,37.54,37.54,37.54,37.54,37.54,37.54,37.54,37.54,37.54,37.54,37.54,37.54,37.54,37.54,37.54,37.54,37.54,37.54,37.54,37.54,37.54,37.54,37.54
"Angola","IPV-D1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Angola","MCV-D1",0,0.04806,0.04806,0.04806,0.04806,0.04806,0.04806,0.09612,0.09612,0.09612,0.09612,0.09612,0.09612,0.1869,0.23496,0.28302,0.33108,0.33108,0.37914,0.42186,0.42186,0.51798,0.66216,0.66216,0.801,0.84906,0.9879,1.03596,1.13208,1.36704,1.65006,1.74618,2.0292,2.8302,3.6312,4.10112,5.28126,11.17128,15.97728,23.04744,30.58752,33.98376,36.57366,38.78976,40.9578,41.7588,42.3729,43.3608,44.49288,45.19776,45.99876,46.3779,46.84782,47.22696,47.50998,47.60076,47.793,48.11874,48.31098,48.594,48.87702,49.01586,49.06392,49.16004,49.20276,49.395,49.53384,49.72608,49.91298,49.96104,50.05182,50.196,50.33484,50.43096,50.43096,50.52708,50.66592,50.71398,50.90088,51.04506,51.1839,51.23196,51.23196,51.23196,51.28002,51.3708,51.51498,51.6111,51.65382,51.84606,52.08102,52.26792,52.4121,52.50288,52.599,52.69512,52.73784,52.73784,52.83396,52.83396,52.88202,52.97814,52.97814,52.97814,52.97814,53.02086,53.02086,53.02086,53.06892,53.06892,53.11698,53.11698,53.11698,53.11698,53.11698,53.11698,53.16504,53.16504,53.16504,53.16504,53.2131,53.2131,53.2131,53.26116,53.26116,53.26116,53.30388,53.30388,53.30388,53.30388,53.30388,53.30388,53.35194,53.35194,53.35194,53.35194,53.35194,53.35194,53.35194,53.35194,53.35194,53.35194,53.35194,53.4,53.4,53.4,53.4,53.4,53.4,53.4,53.4,53.4,53.4,53.4,53.4,53.4,53.4,53.4,53.4,53.4,53.4,53.4,53.4,53.4,53.4,53.4,53.4,53.4,53.4,53.4,53.4,53.4,53.4,53.4,53.4,53.4,53.4,53.4,53.4,53.4,53.4,53.4,53.4,53.4,53.4,53.4,53.4,53.4,53.4,53.4,53.4,53.4,53.4,53.4,53.4,53.4,53.4,53.4,53.4,53.4,53.4,53.4,53.4,53.4,53.4,53.4,53.4,53.4,53.4,53.4,53.4,53.4,53.4,53.4,53.4,53.4,53.4,53.4,53.4,53.4,53.4,53.4,53.4,53.4,53.4,53.4,53.4,53.4,53.4,53.4,53.4,53.4,53.4,53.4,53.4,53.4,53.4,53.4,53.4,53.4,53.4,53.4,53.4,53.4,53.4,53.4,53.4,53.4,53.4,53.4,53.4,53.4,53.4,53.4,53.4,53.4,53.4,53.4,53.4,53.4
