"country","who_region","vaccine","vax_week_1","vax_week_2","vax_week_3","vax_week_4","vax_week_5","vax_week_6","vax_week_7","vax_week_8","vax_week_9","vax_week_10","vax_week_11","vax_week_12","vax_week_13","vax_week_14","vax_week_15","vax_week_16","vax_week_17","vax_week_18","vax_week_19","vax_week_20","vax_week_21","vax_week_22","vax_week_23","vax_week_24","vax_week_25","vax_week_26","vax_week_27","vax_week_28","vax_week_29","vax_week_30","vax_week_31","vax_week_32","vax_week_33","vax_week_34","vax_week_35","vax_week_36","vax_week_37","vax_week_38","vax_week_39","vax_week_40","vax_week_41","vax_week_42","vax_week_43","vax_week_44","vax_week_45","vax_week_46","vax_week_47","vax_week_48","vax_week_49","vax_week_50","vax_week_51","vax_week_52","vax_week_53","vax_week_54","vax_week_55","vax_week_56","vax_week_57","vax_week_58","vax_week_59","vax_week_60","vax_week_61","vax_week_62","vax_week_63","vax_week_64","vax_week_65","vax_week_66","vax_week_67","vax_week_68","vax_week_69","vax_week_70","vax_week_71","vax_week_72","vax_week_73","vax_week_74","vax_week_75","vax_week_76","vax_week_77","vax_week_78","vax_week_79","vax_week_80","vax_week_81","vax_week_82","vax_week_83","vax_week_84","vax_week_85","vax_week_86","vax_week_87","vax_week_88","vax_week_89","vax_week_90","vax_week_91","vax_week_92","vax_week_93","vax_week_94","vax_week_95","vax_week_96","vax_week_97","vax_week_98","vax_week_99","vax_week_100","vax_week_101","vax_week_102","vax_week_103","vax_week_104","vax_week_105","vax_week_106","vax_week_107","vax_week_108","vax_week_109","vax_week_110","vax_week_111","vax_week_112","vax_week_113","vax_week_114","vax_week_115","vax_week_116","vax_week_117","vax_week_118","vax_week_119","vax_week_120","vax_week_121","vax_week_122","vax_week_123","vax_week_124","vax_week_125","vax_week_126","vax_week_127","vax_week_128","vax_week_129","vax_week_130","vax_week_131","vax_week_132","vax_week_133","vax_week_134","vax_week_135","vax_week_136","vax_week_137","vax_week_138","vax_week_139","vax_week_140","vax_week_141","vax_week_142","vax_week_143","vax_week_144","vax_week_145","vax_week_146","vax_week_147","vax_week_148","vax_week_149","vax_week_150","vax_week_151","vax_week_152","vax_week_153","vax_week_154","vax_week_155","vax_week_156","vax_week_157","vax_week_158","vax_week_159","vax_week_160","vax_week_161","vax_week_162","vax_week_163","vax_week_164","vax_week_165","vax_week_166","vax_week_167","vax_week_168","vax_week_169","vax_week_170","vax_week_171","vax_week_172","vax_week_173","vax_week_174","vax_week_175","vax_week_176","vax_week_177","vax_week_178","vax_week_179","vax_week_180","vax_week_181","vax_week_182","vax_week_183","vax_week_184","vax_week_185","vax_week_186","vax_week_187","vax_week_188","vax_week_189","vax_week_190","vax_week_191","vax_week_192","vax_week_193","vax_week_194","vax_week_195","vax_week_196","vax_week_197","vax_week_198","vax_week_199","vax_week_200","vax_week_201","vax_week_202","vax_week_203","vax_week_204","vax_week_205","vax_week_206","vax_week_207","vax_week_208","vax_week_209","vax_week_210","vax_week_211","vax_week_212","vax_week_213","vax_week_214","vax_week_215","vax_week_216","vax_week_217","vax_week_218","vax_week_219","vax_week_220","vax_week_221","vax_week_222","vax_week_223","vax_week_224","vax_week_225","vax_week_226","vax_week_227","vax_week_228","vax_week_229","vax_week_230","vax_week_231","vax_week_232","vax_week_233","vax_week_234","vax_week_235","vax_week_236","vax_week_237","vax_week_238","vax_week_239","vax_week_240","vax_week_241","vax_week_242","vax_week_243","vax_week_244","vax_week_245","vax_week_246","vax_week_247","vax_week_248","vax_week_249","vax_week_250","vax_week_251","vax_week_252","vax_week_253","vax_week_254","vax_week_255","vax_week_256","vax_week_257","vax_week_258","vax_week_259","vax_week_260"
"Angola","AFRO","BCG",36.333906,40.774125,44.475417,47.058333,49.374969,50.946021,51.871344,52.423875,54.460917,55.472781,56.304906,56.677698,57.603021,57.969156,58.155552,58.24875,58.708083,58.894479,58.894479,58.987677,59.080875,59.267271,59.453667,59.633406,59.913,59.913,60.006198,60.192594,60.192594,60.192594,60.285792,60.465531,60.651927,60.651927,60.745125,60.745125,60.838323,60.931521,60.931521,60.931521,61.117917,61.204458,61.297656,61.390854,61.484052,61.57725,61.670448,61.763646,62.129781,62.222979,62.316177,63.521094,64.353219,64.532958,64.532958,64.626156,64.626156,64.626156,64.719354,64.812552,64.90575,64.90575,64.90575,64.90575,64.998948,64.998948,64.998948,65.092146,65.092146,65.185344,65.185344,65.185344,65.185344,65.185344,65.278542,65.278542,65.278542,65.278542,65.278542,65.278542,65.458281,65.458281,65.458281,65.458281,65.458281,65.458281,65.644677,65.644677,65.644677,65.644677,65.644677,65.644677,65.644677,65.644677,65.644677,65.644677,65.644677,65.644677,65.644677,65.644677,65.644677,65.644677,65.644677,66.017469,66.110667,66.290406,66.290406,66.290406,66.290406,66.290406,66.290406,66.476802,66.476802,66.476802,66.476802,66.476802,66.476802,66.476802,66.476802,66.476802,66.476802,66.476802,66.476802,66.57,66.57,66.57,66.57,66.57,66.57,66.57,66.57,66.57,66.57,66.57,66.57,66.57,66.57,66.57,66.57,66.57,66.57,66.57,66.57,66.57,66.57,66.57,66.57,66.57,66.57,66.57,66.57,66.57,66.57,66.57,66.57,66.57,66.57,66.57,66.57,66.57,66.57,66.57,66.57,66.57,66.57,66.57,66.57,66.57,66.57,66.57,66.57,66.57,66.57,66.57,66.57,66.57,66.57,66.57,66.57,66.57,66.57,66.57,66.57,66.57,66.57,66.57,66.57,66.57,66.57,66.57,66.57,66.57,66.57,66.57,66.57,66.57,66.57,66.57,66.57,66.57,66.57,66.57,66.57,66.57,66.57,66.57,66.57,66.57,66.57,66.57,66.57,66.57,66.57,66.57,66.57,66.57,66.57,66.57,66.57,66.57,66.57,66.57,66.57,66.57,66.57,66.57,66.57,66.57,66.57,66.57,66.57,66.57,66.57,66.57,66.57,66.57,66.57,66.57,66.57,66.57,66.57,66.57,66.57,66.57,66.57,66.57,66.57,66.57,66.57,66.57,66.57,66.57,66.57,66.57,66.57,66.57,66.57,66.57,66.57,66.57
"Angola","AFRO","DTP-D1",0.266858,0.533716,0.707484,1.508058,2.122452,3.189884,3.984252,6.373562,30.0991,36.73952,40.636888,43.646798,45.949224,47.63105,48.692276,49.225992,50.814728,51.875954,52.496554,53.297128,53.563986,54.17838,54.625212,55.065838,55.773322,56.04018,56.04018,56.307038,56.393922,56.480806,56.747664,56.927638,56.927638,56.927638,57.101406,57.28138,57.368264,57.542032,57.542032,57.635122,57.722006,57.988864,58.162632,58.162632,58.255722,58.255722,58.255722,58.342606,58.516374,58.609464,58.696348,58.783232,58.870116,58.963206,58.963206,59.230064,59.316948,59.316948,59.403832,59.403832,59.937548,60.1982,60.551942,60.551942,60.645032,60.731916,60.731916,60.731916,60.8188,60.8188,60.8188,60.8188,60.8188,60.8188,60.8188,60.8188,60.8188,60.8188,60.91189,60.91189,60.998774,60.998774,60.998774,60.998774,60.998774,60.998774,60.998774,61.085658,61.085658,61.085658,61.085658,61.085658,61.172542,61.265632,61.265632,61.265632,61.265632,61.265632,61.265632,61.265632,61.265632,61.265632,61.265632,61.352516,61.352516,61.352516,61.352516,61.352516,61.352516,61.352516,61.352516,61.352516,61.526284,61.619374,61.706258,61.706258,61.706258,61.706258,61.706258,61.706258,61.793142,61.793142,61.793142,61.880026,62.06,62.06,62.06,62.06,62.06,62.06,62.06,62.06,62.06,62.06,62.06,62.06,62.06,62.06,62.06,62.06,62.06,62.06,62.06,62.06,62.06,62.06,62.06,62.06,62.06,62.06,62.06,62.06,62.06,62.06,62.06,62.06,62.06,62.06,62.06,62.06,62.06,62.06,62.06,62.06,62.06,62.06,62.06,62.06,62.06,62.06,62.06,62.06,62.06,62.06,62.06,62.06,62.06,62.06,62.06,62.06,62.06,62.06,62.06,62.06,62.06,62.06,62.06,62.06,62.06,62.06,62.06,62.06,62.06,62.06,62.06,62.06,62.06,62.06,62.06,62.06,62.06,62.06,62.06,62.06,62.06,62.06,62.06,62.06,62.06,62.06,62.06,62.06,62.06,62.06,62.06,62.06,62.06,62.06,62.06,62.06,62.06,62.06,62.06,62.06,62.06,62.06,62.06,62.06,62.06,62.06,62.06,62.06,62.06,62.06,62.06,62.06,62.06,62.06,62.06,62.06,62.06,62.06,62.06,62.06,62.06,62.06,62.06,62.06,62.06,62.06,62.06,62.06,62.06,62.06,62.06,62.06,62.06,62.06,62.06,62.06
"Angola","AFRO","DTP-D2",0,0.07032,0.07032,0.07032,0.07032,0.07032,0.07032,0.145035,0.29007,0.795495,1.305315,1.52067,1.88106,2.316165,3.04134,3.476445,9.269055,20.274135,24.11097,26.86224,28.38291,30.77379,32.00439,32.870205,33.380025,34.82598,35.69619,36.34665,36.711435,37.21686,37.651965,38.44746,38.662815,38.80785,38.952885,39.31767,39.533025,39.67806,39.823095,40.03845,40.113165,40.2582,40.32852,40.32852,40.403235,40.54827,40.61859,40.763625,40.763625,40.90866,40.983375,41.053695,41.124015,41.124015,41.19873,41.19873,41.414085,41.55912,41.633835,41.633835,41.633835,41.704155,41.84919,41.923905,41.994225,41.994225,41.994225,41.994225,41.994225,42.284295,42.42933,42.574365,42.7194,42.7194,42.864435,42.934755,42.934755,43.00947,43.00947,43.00947,43.00947,43.00947,43.00947,43.07979,43.154505,43.154505,43.154505,43.154505,43.154505,43.154505,43.154505,43.154505,43.154505,43.154505,43.154505,43.154505,43.154505,43.154505,43.154505,43.224825,43.224825,43.224825,43.224825,43.224825,43.29954,43.29954,43.29954,43.36986,43.444575,43.444575,43.444575,43.444575,43.444575,43.444575,43.444575,43.444575,43.444575,43.444575,43.444575,43.444575,43.444575,43.514895,43.514895,43.514895,43.58961,43.65993,43.65993,43.65993,43.734645,43.734645,43.804965,43.804965,43.804965,43.804965,43.804965,43.804965,43.804965,43.804965,43.87968,43.87968,43.87968,43.87968,43.87968,43.87968,43.95,43.95,43.95,43.95,43.95,43.95,43.95,43.95,43.95,43.95,43.95,43.95,43.95,43.95,43.95,43.95,43.95,43.95,43.95,43.95,43.95,43.95,43.95,43.95,43.95,43.95,43.95,43.95,43.95,43.95,43.95,43.95,43.95,43.95,43.95,43.95,43.95,43.95,43.95,43.95,43.95,43.95,43.95,43.95,43.95,43.95,43.95,43.95,43.95,43.95,43.95,43.95,43.95,43.95,43.95,43.95,43.95,43.95,43.95,43.95,43.95,43.95,43.95,43.95,43.95,43.95,43.95,43.95,43.95,43.95,43.95,43.95,43.95,43.95,43.95,43.95,43.95,43.95,43.95,43.95,43.95,43.95,43.95,43.95,43.95,43.95,43.95,43.95,43.95,43.95,43.95,43.95,43.95,43.95,43.95,43.95,43.95,43.95,43.95,43.95,43.95,43.95,43.95,43.95,43.95,43.95,43.95,43.95,43.95,43.95,43.95,43.95,43.95,43.95,43.95,43.95
"Angola","AFRO","DTP-D3",0,0,0,0,0,0,0,0,0,0,0.063023,0.126046,0.126046,0.315115,0.444478,0.444478,0.69657,1.011685,1.204071,1.330117,1.519186,1.771278,2.215756,2.530871,2.849303,8.800001,15.002791,18.230232,19.875464,21.524013,22.976859,23.802792,24.369999,24.562385,25.637093,26.207617,26.459709,26.648778,27.537734,28.423373,28.675465,28.927557,29.245989,29.372035,29.435058,29.68715,29.750173,29.942559,29.942559,29.942559,30.068605,30.257674,30.320697,30.446743,30.509766,30.639129,30.702152,30.765175,30.828198,30.828198,30.828198,30.954244,30.954244,30.954244,31.017267,31.08029,31.08029,31.143313,31.143313,31.143313,31.206336,31.206336,31.206336,31.269359,31.335699,31.398722,31.398722,31.524768,31.902906,31.965929,32.158315,32.284361,32.347384,32.347384,32.410407,32.47343,32.47343,32.47343,32.536453,32.536453,32.536453,32.536453,32.536453,32.536453,32.536453,32.536453,32.599476,32.599476,32.599476,32.599476,32.662499,32.662499,32.662499,32.662499,32.662499,32.662499,32.725522,32.725522,32.725522,32.788545,32.788545,32.854885,32.854885,32.854885,32.854885,32.854885,32.854885,32.854885,32.917908,32.917908,32.980931,32.980931,32.980931,33.043954,33.043954,33.043954,33.043954,33.043954,33.043954,33.043954,33.106977,33.106977,33.106977,33.106977,33.106977,33.106977,33.106977,33.106977,33.106977,33.106977,33.106977,33.106977,33.106977,33.17,33.17,33.17,33.17,33.17,33.17,33.17,33.17,33.17,33.17,33.17,33.17,33.17,33.17,33.17,33.17,33.17,33.17,33.17,33.17,33.17,33.17,33.17,33.17,33.17,33.17,33.17,33.17,33.17,33.17,33.17,33.17,33.17,33.17,33.17,33.17,33.17,33.17,33.17,33.17,33.17,33.17,33.17,33.17,33.17,33.17,33.17,33.17,33.17,33.17,33.17,33.17,33.17,33.17,33.17,33.17,33.17,33.17,33.17,33.17,33.17,33.17,33.17,33.17,33.17,33.17,33.17,33.17,33.17,33.17,33.17,33.17,33.17,33.17,33.17,33.17,33.17,33.17,33.17,33.17,33.17,33.17,33.17,33.17,33.17,33.17,33.17,33.17,33.17,33.17,33.17,33.17,33.17,33.17,33.17,33.17,33.17,33.17,33.17,33.17,33.17,33.17,33.17,33.17,33.17,33.17,33.17,33.17,33.17,33.17,33.17,33.17,33.17,33.17,33.17,33.17,33.17
"Angola","AFRO","OPV-BD",32.36486,36.791612,40.169316,42.503736,44.838156,45.887204,46.849792,47.172576,48.947888,49.587692,50.23326,50.798132,51.524396,51.841416,52.083504,52.1642,52.244896,52.406288,52.406288,52.56768,52.648376,52.729072,52.809768,52.809768,52.890464,52.890464,52.97116,53.051856,53.051856,53.051856,53.132552,53.293944,53.536032,53.536032,53.616728,53.616728,53.616728,53.616728,53.616728,53.616728,53.697424,53.697424,53.77812,53.858816,53.939512,54.175836,54.256532,54.256532,54.49862,54.579316,54.740708,55.547668,56.031844,56.193236,56.193236,56.435324,56.435324,56.435324,56.510256,56.590952,56.752344,56.752344,56.752344,56.752344,56.83304,56.83304,56.83304,56.913736,56.913736,56.994432,56.994432,56.994432,56.994432,56.994432,57.075128,57.075128,57.155824,57.155824,57.155824,57.155824,57.23652,57.23652,57.23652,57.23652,57.23652,57.23652,57.317216,57.317216,57.317216,57.317216,57.317216,57.317216,57.317216,57.317216,57.397912,57.397912,57.397912,57.397912,57.397912,57.397912,57.397912,57.397912,57.397912,57.397912,57.397912,57.478608,57.478608,57.478608,57.478608,57.478608,57.478608,57.64,57.64,57.64,57.64,57.64,57.64,57.64,57.64,57.64,57.64,57.64,57.64,57.64,57.64,57.64,57.64,57.64,57.64,57.64,57.64,57.64,57.64,57.64,57.64,57.64,57.64,57.64,57.64,57.64,57.64,57.64,57.64,57.64,57.64,57.64,57.64,57.64,57.64,57.64,57.64,57.64,57.64,57.64,57.64,57.64,57.64,57.64,57.64,57.64,57.64,57.64,57.64,57.64,57.64,57.64,57.64,57.64,57.64,57.64,57.64,57.64,57.64,57.64,57.64,57.64,57.64,57.64,57.64,57.64,57.64,57.64,57.64,57.64,57.64,57.64,57.64,57.64,57.64,57.64,57.64,57.64,57.64,57.64,57.64,57.64,57.64,57.64,57.64,57.64,57.64,57.64,57.64,57.64,57.64,57.64,57.64,57.64,57.64,57.64,57.64,57.64,57.64,57.64,57.64,57.64,57.64,57.64,57.64,57.64,57.64,57.64,57.64,57.64,57.64,57.64,57.64,57.64,57.64,57.64,57.64,57.64,57.64,57.64,57.64,57.64,57.64,57.64,57.64,57.64,57.64,57.64,57.64,57.64,57.64,57.64,57.64,57.64,57.64,57.64,57.64,57.64,57.64,57.64,57.64,57.64,57.64,57.64,57.64,57.64
"Angola","AFRO","OPV-D1",0.166576,0.327408,0.407824,0.982224,1.7232,2.791584,3.612976,5.497008,27.243792,33.3152,37.008592,39.553184,41.9312,43.487824,44.475792,45.050192,46.5264,47.6752,48.2496,49.070992,49.3984,50.053216,50.380624,50.794192,51.288176,51.529424,51.696,51.862576,52.023408,52.103824,52.350816,52.517392,52.517392,52.517392,52.597808,52.925216,53.011376,53.172208,53.172208,53.338784,53.4192,53.666192,53.827024,53.827024,53.913184,53.913184,53.913184,53.9936,54.240592,54.401424,54.487584,54.568,54.648416,54.734576,54.734576,54.975824,55.061984,55.061984,55.1424,55.1424,55.550224,55.797216,56.210784,56.2912,56.371616,56.457776,56.457776,56.457776,56.538192,56.538192,56.538192,56.538192,56.538192,56.538192,56.538192,56.538192,56.538192,56.538192,56.618608,56.699024,56.785184,56.785184,56.785184,56.785184,56.8656,56.8656,56.8656,56.946016,56.946016,56.946016,56.946016,56.946016,57.032176,57.032176,57.032176,57.032176,57.032176,57.032176,57.032176,57.032176,57.032176,57.032176,57.032176,57.032176,57.032176,57.032176,57.032176,57.032176,57.032176,57.032176,57.032176,57.032176,57.112592,57.193008,57.193008,57.193008,57.193008,57.193008,57.193008,57.193008,57.273424,57.273424,57.273424,57.359584,57.44,57.44,57.44,57.44,57.44,57.44,57.44,57.44,57.44,57.44,57.44,57.44,57.44,57.44,57.44,57.44,57.44,57.44,57.44,57.44,57.44,57.44,57.44,57.44,57.44,57.44,57.44,57.44,57.44,57.44,57.44,57.44,57.44,57.44,57.44,57.44,57.44,57.44,57.44,57.44,57.44,57.44,57.44,57.44,57.44,57.44,57.44,57.44,57.44,57.44,57.44,57.44,57.44,57.44,57.44,57.44,57.44,57.44,57.44,57.44,57.44,57.44,57.44,57.44,57.44,57.44,57.44,57.44,57.44,57.44,57.44,57.44,57.44,57.44,57.44,57.44,57.44,57.44,57.44,57.44,57.44,57.44,57.44,57.44,57.44,57.44,57.44,57.44,57.44,57.44,57.44,57.44,57.44,57.44,57.44,57.44,57.44,57.44,57.44,57.44,57.44,57.44,57.44,57.44,57.44,57.44,57.44,57.44,57.44,57.44,57.44,57.44,57.44,57.44,57.44,57.44,57.44,57.44,57.44,57.44,57.44,57.44,57.44,57.44,57.44,57.44,57.44,57.44,57.44,57.44,57.44,57.44,57.44,57.44,57.44,57.44
"Angola","AFRO","OPV-D2",0,0.075104,0.075104,0.075104,0.075104,0.075104,0.075104,0.154902,0.30511,0.840226,1.300238,1.530244,1.915152,2.450268,3.21539,3.5205,9.571066,21.132388,25.037796,27.71807,29.328112,32.163288,33.618428,34.763764,35.223776,36.833818,37.749148,38.439166,38.899178,39.434294,39.894306,40.81433,41.044336,41.199238,41.42455,41.734354,41.96436,42.039464,42.194366,42.499476,42.649684,42.804586,42.87969,42.959488,43.034592,43.189494,43.4195,43.569708,43.569708,43.72461,43.72461,43.72461,43.799714,43.799714,43.874818,43.874818,44.104824,44.259726,44.33483,44.33483,44.33483,44.414628,44.564836,44.644634,44.719738,44.719738,44.719738,44.719738,44.719738,45.024848,45.17975,45.329958,45.48486,45.48486,45.639762,45.714866,45.78997,45.869768,45.869768,45.869768,45.869768,45.869768,45.869768,45.944872,46.019976,46.019976,46.019976,46.019976,46.019976,46.099774,46.099774,46.099774,46.174878,46.174878,46.174878,46.174878,46.174878,46.174878,46.174878,46.249982,46.249982,46.249982,46.249982,46.249982,46.325086,46.325086,46.325086,46.404884,46.479988,46.479988,46.479988,46.479988,46.479988,46.479988,46.479988,46.555092,46.555092,46.555092,46.555092,46.555092,46.555092,46.63489,46.63489,46.63489,46.709994,46.785098,46.785098,46.785098,46.864896,46.864896,46.864896,46.864896,46.864896,46.864896,46.864896,46.864896,46.864896,46.864896,46.864896,46.864896,46.864896,46.864896,46.864896,46.864896,46.94,46.94,46.94,46.94,46.94,46.94,46.94,46.94,46.94,46.94,46.94,46.94,46.94,46.94,46.94,46.94,46.94,46.94,46.94,46.94,46.94,46.94,46.94,46.94,46.94,46.94,46.94,46.94,46.94,46.94,46.94,46.94,46.94,46.94,46.94,46.94,46.94,46.94,46.94,46.94,46.94,46.94,46.94,46.94,46.94,46.94,46.94,46.94,46.94,46.94,46.94,46.94,46.94,46.94,46.94,46.94,46.94,46.94,46.94,46.94,46.94,46.94,46.94,46.94,46.94,46.94,46.94,46.94,46.94,46.94,46.94,46.94,46.94,46.94,46.94,46.94,46.94,46.94,46.94,46.94,46.94,46.94,46.94,46.94,46.94,46.94,46.94,46.94,46.94,46.94,46.94,46.94,46.94,46.94,46.94,46.94,46.94,46.94,46.94,46.94,46.94,46.94,46.94,46.94,46.94,46.94,46.94,46.94,46.94,46.94,46.94,46.94,46.94,46.94,46.94,46.94
"Angola","AFRO","OPV-D3",0,0,0,0,0,0,0,0,0,0,0.066538,0.133076,0.133076,0.329188,0.462264,0.462264,0.724914,0.921026,1.12064,1.250214,1.316752,1.64594,2.108204,2.370854,2.896154,9.084188,15.401796,18.693676,20.53923,22.314744,23.698034,24.485984,25.14436,25.343974,26.461112,27.119488,27.38564,27.581752,28.635854,29.55688,29.81953,30.08218,30.411368,30.544444,30.674018,31.069744,31.136282,31.332394,31.398932,31.398932,31.532008,31.72812,31.794658,31.927734,31.99077,32.190384,32.256922,32.319958,32.386496,32.386496,32.386496,32.519572,32.519572,32.519572,32.58611,32.715684,32.715684,32.782222,32.782222,32.782222,32.782222,32.84876,32.84876,32.911796,32.978334,33.044872,33.044872,33.177948,33.507136,33.570172,33.769786,33.836324,33.965898,33.965898,34.032436,34.098974,34.098974,34.098974,34.165512,34.165512,34.228548,34.228548,34.228548,34.228548,34.228548,34.228548,34.228548,34.228548,34.228548,34.228548,34.295086,34.295086,34.295086,34.295086,34.295086,34.295086,34.361624,34.361624,34.361624,34.428162,34.428162,34.4947,34.4947,34.4947,34.4947,34.4947,34.4947,34.4947,34.557736,34.557736,34.624274,34.624274,34.624274,34.690812,34.690812,34.690812,34.75735,34.75735,34.75735,34.75735,34.886924,34.886924,34.886924,34.886924,34.886924,34.886924,34.886924,34.886924,34.886924,34.886924,34.886924,34.886924,34.886924,34.953462,34.953462,34.953462,35.02,35.02,35.02,35.02,35.02,35.02,35.02,35.02,35.02,35.02,35.02,35.02,35.02,35.02,35.02,35.02,35.02,35.02,35.02,35.02,35.02,35.02,35.02,35.02,35.02,35.02,35.02,35.02,35.02,35.02,35.02,35.02,35.02,35.02,35.02,35.02,35.02,35.02,35.02,35.02,35.02,35.02,35.02,35.02,35.02,35.02,35.02,35.02,35.02,35.02,35.02,35.02,35.02,35.02,35.02,35.02,35.02,35.02,35.02,35.02,35.02,35.02,35.02,35.02,35.02,35.02,35.02,35.02,35.02,35.02,35.02,35.02,35.02,35.02,35.02,35.02,35.02,35.02,35.02,35.02,35.02,35.02,35.02,35.02,35.02,35.02,35.02,35.02,35.02,35.02,35.02,35.02,35.02,35.02,35.02,35.02,35.02,35.02,35.02,35.02,35.02,35.02,35.02,35.02,35.02,35.02,35.02,35.02,35.02,35.02,35.02,35.02,35.02,35.02
"Angola","AFRO","IPV-D1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Angola","AFRO","MCV-D1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.344128,0.344128,0.457045,0.569962,0.569962,0.682879,0.908713,1.027007,1.365758,1.365758,1.365758,3.188561,4.554319,5.355492,6.608333,15.039469,25.062197,28.594886,30.987651,34.972008,38.047652,38.848825,39.983372,40.553334,41.354507,42.607348,42.946099,43.628978,43.973106,44.317234,44.543068,44.768902,45.11303,45.225947,45.570075,46.140037,46.365871,46.478788,46.822916,46.935833,47.04875,47.274584,47.274584,47.392878,47.505795,47.731629,47.957463,48.075757,48.188674,48.414508,48.645719,48.758636,48.758636,48.758636,48.871553,49.215681,49.441515,49.441515,49.554432,49.667349,49.667349,49.780266,49.89856,49.89856,50.011477,50.350228,50.350228,50.694356,51.377235,51.721363,52.060114,52.060114,52.173031,52.173031,52.404242,52.404242,52.404242,52.630076,52.742993,52.742993,52.742993,52.742993,52.742993,52.861287,52.974204,52.974204,52.974204,53.087121,53.087121,53.087121,53.087121,53.087121,53.087121,53.087121,53.087121,53.200038,53.200038,53.312955,53.312955,53.312955,53.425872,53.425872,53.544166,53.544166,53.544166,53.544166,53.544166,53.544166,53.544166,53.657083,53.657083,53.657083,53.657083,53.657083,53.657083,53.657083,53.657083,53.657083,53.657083,53.657083,53.657083,53.77,53.77,53.77,53.77,53.77,53.77,53.77,53.77,53.77,53.77,53.77,53.77,53.77,53.77,53.77,53.77,53.77,53.77,53.77,53.77,53.77,53.77,53.77,53.77,53.77,53.77,53.77,53.77,53.77,53.77,53.77,53.77,53.77,53.77,53.77,53.77,53.77,53.77,53.77,53.77,53.77,53.77,53.77,53.77,53.77,53.77,53.77,53.77,53.77,53.77,53.77,53.77,53.77,53.77,53.77,53.77,53.77,53.77,53.77,53.77,53.77,53.77,53.77,53.77,53.77,53.77,53.77,53.77,53.77,53.77,53.77,53.77,53.77,53.77,53.77,53.77,53.77,53.77,53.77,53.77,53.77,53.77,53.77,53.77,53.77,53.77,53.77,53.77,53.77,53.77,53.77,53.77,53.77,53.77,53.77,53.77,53.77,53.77,53.77,53.77,53.77,53.77,53.77,53.77,53.77,53.77,53.77,53.77,53.77,53.77,53.77,53.77,53.77,53.77,53.77,53.77
