"country","vaccine","median","iqr","mean","sd","range","quan_01","quan_05","quan_15","quan_25","quan_50","quan_75","quan_85","quan_95","quan_99"
"All","BCG",1,"(0, 4)",3.6,"(9.06)","(-9, 248)",-2,0,0,0,1,4,6,14,52
"All","DTP-D1",1,"(0, 4)",4.7,"(13.01)","(-13, 235)",-6,-2,0,0,1,4,6,21,73
"All","DTP-D2",3,"(1, 6)",5.5,"(10.68)","(-19, 236)",-4,-1,0,1,3,6,9,21,55
"All","DTP-D3",4,"(2, 9)",7.5,"(11.97)","(-24, 223)",-4,-1,1,2,4,9,14,28,58
"All","OPV-BD",0,"(0, 2)",2.5,"(7.92)","(-2, 223)",-1,0,0,0,0,2,4,9,48
"All","OPV-D1",1,"(0, 4)",3.2,"(9.6)","(-27, 235)",-17,-4,0,0,1,4,6,15,50.4
"All","OPV-D2",3,"(1, 6)",3.7,"(14.58)","(-77, 204)",-59,-3,0,1,3,6,9,21,53
"All","OPV-D3",4,"(2, 9)",7.2,"(13.01)","(-68, 223)",-14,-1,1,2,4,9,14,29,58
"All","IPV-D1",4,"(1, 10)",7.9,"(12.24)","(-26, 133)",-6,0,1,1,4,10,15,30,60
"All","MCV-D1",2,"(0, 6)",5.5,"(14.37)","(-54, 206)",-26,-4,0,0,2,6,11,28,62
"All","MCV-D2",4,"(1, 10)",4.4,"(15.76)","(-79, 161)",-50,-26,-1,1,4,10,14,27,53
"All","HepB-BD",0,"(0, 0)",2.4,"(9.52)","(-2, 146)",-1,0,0,0,0,0,2,11,52
"All","HepB-D1",1,"(0, 4)",3.4,"(8.91)","(-13, 190)",-8,-3,0,0,1,4,6,14,51
"All","HepB-D2",3,"(1, 6)",5.3,"(9.62)","(-26, 178)",-5,-1,0,1,3,6,9,20,53
"All","HepB-D3",4,"(2, 9)",7.5,"(10.94)","(-24, 148)",-4,0,1,2,4,9,14,27,56
"All","Hib-D1",1,"(0, 3)",2.9,"(7.84)","(-13, 135)",-5,-2,0,0,1,3,5,12,45
"All","Hib-D2",2,"(1, 5)",4.5,"(8.77)","(-15, 138)",-4,-1,0,1,2,5,8,18,49
"All","Hib-D3",3,"(1, 7)",6.3,"(10.33)","(-20, 133)",-4,-1,1,1,3,7,11,25,54
"All","PCV-D1",1,"(0, 4)",4.2,"(11.27)","(-11, 236)",-4,-1,0,0,1,4,6,19,52
"All","PCV-D2",2,"(1, 5)",5,"(9.48)","(-15, 201)",-3,-1,0,1,2,5,9,21,51
"All","PCV-D3",3,"(1, 8)",5.8,"(12.33)","(-47, 199)",-22,-10,0,1,3,8,13,27,55
"All","RV-D1",1,"(0, 4)",4.4,"(11.15)","(-13, 211)",-4,-2,0,0,1,4,6,22,54
"All","RV-D2",3,"(1, 6)",5.4,"(10.3)","(-14, 197)",-4,-1,0,1,3,6,9,20,57
"All","RV-D3",5,"(2, 10)",8.2,"(11.41)","(-20, 132)",-4,-1,1,2,5,10,15,29,57
