"country","vaccine","median","iqr","mean","sd","range","quan_01","quan_05","quan_15","quan_25","quan_50","quan_75","quan_85","quan_95","quan_99"
"Angola","BCG",2,"(0, 5)",6.5,"(14.61)","(-2, 124)",-2,-1,-1,0,2,5,10,41,67
"Angola","DTP-D1",1,"(0, 5)",5.2,"(13.49)","(-11, 115)",-6,-2,-1,0,1,5,9,30.8,58
"Angola","DTP-D2",2,"(0, 7)",6.4,"(13.92)","(-17, 128)",-7.9,-2,-1,0,2,7,11,32.8,60
"Angola","DTP-D3",2,"(0, 6)",5.9,"(13.53)","(-17, 119)",-11,-5,-1,0,2,6,12,29.2,59.8
"Angola","OPV-BD",2,"(0, 4)",5.1,"(11.98)","(-2, 112)",-2,-1,-1,0,2,4,7,28.2,56
"Angola","OPV-D1",1,"(0, 5)",5.2,"(12.91)","(-11, 115)",-6,-2,-1,0,1,5,9,30.3,58
"Angola","OPV-D2",2,"(0, 7)",6.5,"(13.77)","(-17, 128)",-7,-2,-1,0,2,7,11,32.2,62
"Angola","OPV-D3",2,"(0, 7)",6.5,"(14.62)","(-17, 120)",-11,-4,-1,0,2,7,13,35,63.5
"Angola","IPV-D1",NA,"(NA, NA)",NA,"(NA)","(NA, NA)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Angola","MCV-D1",2,"(0, 6)",6.1,"(14.13)","(-37, 105)",-16,-5,-1,0,2,6,12,39.4,61.4
"Angola","MCV-D2",-21,"(-24, 0)",-12.6,"(18.66)","(-50, 89)",-38.7,-29,-26,-24,-21,0,4,23.4,52
"Angola","HepB-BD",2,"(0, 8)",8.1,"(17.63)","(-2, 132)",-2,-2,-1,0,2,8,12,51.4,80.2
"Angola","HepB-D1",1,"(0, 5)",5.2,"(13.49)","(-11, 115)",-6,-2,-1,0,1,5,9,30.8,58
"Angola","HepB-D2",2,"(0, 7)",6.4,"(13.92)","(-17, 128)",-7.9,-2,-1,0,2,7,11,32.8,60
"Angola","HepB-D3",2,"(0, 6)",5.9,"(13.53)","(-17, 119)",-11,-5,-1,0,2,6,12,29.2,59.8
"Angola","Hib-D1",1,"(0, 5)",5.2,"(13.49)","(-11, 115)",-6,-2,-1,0,1,5,9,30.8,58
"Angola","Hib-D2",2,"(0, 7)",6.4,"(13.92)","(-17, 128)",-7.9,-2,-1,0,2,7,11,32.8,60
"Angola","Hib-D3",2,"(0, 6)",5.9,"(13.53)","(-17, 119)",-11,-5,-1,0,2,6,12,29.2,59.8
"Angola","PCV-D1",2,"(0, 7)",6.4,"(14.12)","(-11, 115)",-5,-2,-1,0,2,7,12,33,60.7
"Angola","PCV-D2",3,"(1, 9)",7.5,"(14.84)","(-12, 128)",-8,-2,0,1,3,9,14,36,67.1
"Angola","PCV-D3",2,"(0, 8)",7.2,"(14.94)","(-17, 120)",-11,-4,-1,0,2,8,15,39,74
"Angola","RV-D1",1,"(0, 5)",5.4,"(14.31)","(-11, 115)",-6,-2,-1,0,1,5,9,30.9,60
"Angola","RV-D2",2,"(0, 7)",6,"(12.92)","(-12, 111)",-7,-3,-1,0,2,7,12,24.7,57.7
"Angola","RV-D3",NA,"(NA, NA)",NA,"(NA)","(NA, NA)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bangladesh","BCG",7,"(4, 9)",7.5,"(6.04)","(-2, 64)",-1,1,3,4,7,9,11,16,34
"Bangladesh","DTP-D1",2,"(1, 4)",3.3,"(4.81)","(-8, 54)",-3,-1,0,1,2,4,6,10,24.2
"Bangladesh","DTP-D2",3,"(2, 6)",4.6,"(5.59)","(-7, 59)",-2,-1,1,2,3,6,8,14,28
"Bangladesh","DTP-D3",4,"(2, 8)",6.2,"(7.55)","(-7, 112)",-1,0,1,2,4,8,11,18,36.6
"Bangladesh","OPV-BD",NA,"(NA, NA)",NA,"(NA)","(NA, NA)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bangladesh","OPV-D1",2,"(1, 4)",3.3,"(4.82)","(-7, 54)",-3,-1,0,1,2,4,6,10,24.3
"Bangladesh","OPV-D2",3,"(2, 6)",4.6,"(5.6)","(-7, 59)",-2,-1,1,2,3,6,8,14,28
"Bangladesh","OPV-D3",5,"(2, 8)",6.3,"(7.47)","(-7, 112)",-1,0,1,2,5,8,11,18,36
"Bangladesh","IPV-D1",13,"(10, 17)",17.2,"(13.39)","(1, 120)",7,8,10,10,13,17,23,48,67.5
"Bangladesh","MCV-D1",0,"(-0.5, 2)",-0.1,"(6.67)","(-13, 9)",-12.3,-9.4,-2.2,-0.5,0,2,4.5,7.5,8.7
"Bangladesh","MCV-D2",4,"(2, 6)",4.7,"(7.1)","(-30, 64)",-16.1,0,1,2,4,6,8,13,29.7
"Bangladesh","HepB-BD",NA,"(NA, NA)",NA,"(NA)","(NA, NA)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bangladesh","HepB-D1",2,"(1, 4)",3.3,"(4.81)","(-8, 54)",-3,-1,0,1,2,4,6,10,24.2
"Bangladesh","HepB-D2",3,"(2, 6)",4.6,"(5.59)","(-7, 59)",-2,-1,1,2,3,6,8,14,28
"Bangladesh","HepB-D3",4,"(2, 8)",6.2,"(7.55)","(-7, 112)",-1,0,1,2,4,8,11,18,36.6
"Bangladesh","Hib-D1",2,"(1, 4)",3.3,"(4.81)","(-8, 54)",-3,-1,0,1,2,4,6,10,24.2
"Bangladesh","Hib-D2",3,"(2, 6)",4.6,"(5.59)","(-7, 59)",-2,-1,1,2,3,6,8,14,28
"Bangladesh","Hib-D3",4,"(2, 8)",6.2,"(7.55)","(-7, 112)",-1,0,1,2,4,8,11,18,36.6
"Bangladesh","PCV-D1",3,"(1, 4)",3.4,"(4.95)","(-8, 54)",-3,-1,0,1,3,4,6,10,25.8
"Bangladesh","PCV-D2",3,"(2, 6)",4.6,"(5.61)","(-7, 59)",-2,-1,1,2,3,6,8,14,28
"Bangladesh","PCV-D3",9,"(6, 13)",10.3,"(7.79)","(-7, 67)",0,2,4,6,9,13,16,25,41.7
"Bangladesh","RV-D1",NA,"(NA, NA)",NA,"(NA)","(NA, NA)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bangladesh","RV-D2",NA,"(NA, NA)",NA,"(NA)","(NA, NA)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bangladesh","RV-D3",NA,"(NA, NA)",NA,"(NA)","(NA, NA)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Benin","BCG",1,"(0, 2)",2.4,"(6.96)","(-2, 130)",-2,-1,0,0,1,2,3,7,29.6
"Benin","DTP-D1",1,"(0, 3)",2.6,"(7.92)","(-8, 131)",-4,-2,-1,0,1,3,4,10,38.9
"Benin","DTP-D2",2,"(0, 5)",4.2,"(8.49)","(-7, 133)",-2,-1,0,0,2,5,7,16,41
"Benin","DTP-D3",3,"(1, 7)",6.2,"(9.83)","(-11, 132)",-2,-1,0,1,3,7,12,25,51
"Benin","OPV-BD",1,"(0, 2)",2.3,"(6.86)","(-2, 130)",-2,-1,0,0,1,2,3,7,27.5
"Benin","OPV-D1",1,"(0, 3)",2.7,"(7.94)","(-7, 131)",-3,-2,-1,0,1,3,4,10,39.8
"Benin","OPV-D2",2,"(0, 5)",4.2,"(8.23)","(-6, 133)",-2,-1,0,0,2,5,7,16,40
"Benin","OPV-D3",3,"(1, 7)",6.3,"(10.44)","(-11, 132)",-2,-1,0,1,3,7,12,25,52
"Benin","IPV-D1",NA,"(NA, NA)",NA,"(NA)","(NA, NA)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Benin","MCV-D1",2,"(1, 5)",3.8,"(8.86)","(-34, 70)",-22,-2,0,1,2,5,7,17,43.8
"Benin","MCV-D2",NA,"(NA, NA)",NA,"(NA)","(NA, NA)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Benin","HepB-BD",NA,"(NA, NA)",NA,"(NA)","(NA, NA)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Benin","HepB-D1",1,"(0, 3)",2.6,"(7.92)","(-8, 131)",-4,-2,-1,0,1,3,4,10,38.9
"Benin","HepB-D2",2,"(0, 5)",4.2,"(8.49)","(-7, 133)",-2,-1,0,0,2,5,7,16,41
"Benin","HepB-D3",3,"(1, 7)",6.2,"(9.83)","(-11, 132)",-2,-1,0,1,3,7,12,25,51
"Benin","Hib-D1",1,"(0, 3)",2.6,"(7.92)","(-8, 131)",-4,-2,-1,0,1,3,4,10,38.9
"Benin","Hib-D2",2,"(0, 5)",4.2,"(8.49)","(-7, 133)",-2,-1,0,0,2,5,7,16,41
"Benin","Hib-D3",3,"(1, 7)",6.2,"(9.83)","(-11, 132)",-2,-1,0,1,3,7,12,25,51
"Benin","PCV-D1",1,"(0, 3)",2.7,"(8.13)","(-8, 131)",-4,-2,-1,0,1,3,4,10,40
"Benin","PCV-D2",2,"(0, 5)",4.2,"(8.34)","(-6, 133)",-3,-1,0,0,2,5,7,16,41
"Benin","PCV-D3",3,"(1, 7)",6.4,"(10.59)","(-11, 132)",-2,-1,0,1,3,7,12,25,52
"Benin","RV-D1",NA,"(NA, NA)",NA,"(NA)","(NA, NA)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Benin","RV-D2",NA,"(NA, NA)",NA,"(NA)","(NA, NA)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Benin","RV-D3",NA,"(NA, NA)",NA,"(NA)","(NA, NA)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Burkina Faso","BCG",1,"(0, 3)",2.5,"(6.17)","(-2, 119)",-2,-1,0,0,1,3,4,7,33.7
"Burkina Faso","DTP-D1",2,"(1, 3)",2.8,"(5.85)","(-10, 111)",-3,-1,0,1,2,3,5,8,28
"Burkina Faso","DTP-D2",3,"(1, 5)",4.2,"(7)","(-12, 111)",-2,0,1,1,3,5,6,13,36
"Burkina Faso","DTP-D3",4,"(2, 6)",5.8,"(8.3)","(-12, 108)",-2,0,1,2,4,6,9,18,46
"Burkina Faso","OPV-BD",1,"(0, 2)",2,"(5.68)","(-2, 119)",-2,-1,-1,0,1,2,3,6,26.4
"Burkina Faso","OPV-D1",2,"(1, 3)",2.7,"(5.7)","(-10, 111)",-4.8,-1,0,1,2,3,5,8,28
"Burkina Faso","OPV-D2",3,"(1, 5)",4.1,"(6.64)","(-12, 105)",-2,0,1,1,3,5,6,12,36
"Burkina Faso","OPV-D3",4,"(2, 6)",5.7,"(8.03)","(-17, 92)",-2,0,1,2,4,6,9,18,44
