"country","BCG","DTP-D1","DTP-D2","DTP-D3","OPV-BD","OPV-D1","OPV-D2","OPV-D3","IPV-D1","MCV-D1","MCV-D2","HepB-BD","HepB-D1","HepB-D2","HepB-D3","Hib-D1","Hib-D2","Hib-D3","PCV-D1","PCV-D2","PCV-D3","RV-D1","RV-D2","RV-D3"
"All","2 (0, 4)","2 (0, 4)","3 (1, 6)","4 (2, 9)","1 (0, 2)","2 (0, 4)","3 (1, 6)","4 (2, 9)","4 (2, 11)","3 (0, 7)","5 (1, 12)","1 (-1, 2)","2 (0, 4)","3 (1, 6)","4 (2, 9)","2 (0, 3)","3 (1, 5)","4 (1, 8)","2 (0, 4)","3 (1, 6)","4 (1, 8)","2 (0, 4)","3 (1, 6)","5 (2, 10)"
"Angola (2016)","2 (0, 6)","1 (0, 5)","2 (0, 8)","2 (0, 8)","2 (0, 5)","1 (0, 5)","2 (0, 8)","2 (1, 9)","NA (NA, NA)","2 (0, 9)","-22 (-24.5, 1)","2 (0, 8)","1 (0, 5)","2 (0, 8)","2 (0, 8)","1 (0, 5)","2 (0, 8)","2 (0, 8)","2 (0, 10)","3 (1, 11)","3 (1, 12)","1 (-1, 5)","2.5 (0, 9)","NA (NA, NA)"
"Bangladesh (2018)","7 (4, 9)","3 (1, 4)","3 (2, 6)","4 (2, 8)","NA (NA, NA)","2 (1, 4)","3 (2, 6)","4 (2, 8)","12 (10, 16)","0 (0, 4.5)","4 (2, 6)","NA (NA, NA)","3 (1, 4)","3 (2, 6)","4 (2, 8)","3 (1, 4)","3 (2, 6)","4 (2, 8)","3 (1, 5)","3 (2, 6)","9 (6, 13)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)"
"Benin (2018)","1 (0, 3)","2 (0, 3)","2 (1, 5)","3 (1, 8)","1 (0, 3)","2 (0, 3)","2 (1, 5)","4 (1, 8)","NA (NA, NA)","2 (1, 5)","NA (NA, NA)","NA (NA, NA)","2 (0, 3)","2 (1, 5)","3 (1, 8)","2 (0, 3)","2 (1, 5)","3 (1, 8)","2 (0, 3)","2 (1, 5)","4 (1, 8)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)"
"Burkina Faso (2021)","1 (0, 3)","2 (0, 3)","3 (1, 5)","4 (2, 6.25)","1 (0, 3)","2 (0, 3)","3 (1, 5)","4 (2, 7)","4 (2, 7)","2 (0, 5)","3 (1, 7)","NA (NA, NA)","2 (0, 3)","3 (1, 5)","4 (2, 6.25)","2 (0, 3)","3 (1, 5)","4 (2, 6.25)","2 (0, 3)","-1 (-3, 1)","-19 (-21, -16)","2 (1, 4)","3 (1, 5)","4 (2, 7)"
"Burundi (2017)","2 (1, 3)","1 (0, 2)","2 (1, 3)","3 (2, 5)","2 (0, 3)","1 (0, 2)","2 (1, 3.75)","3 (2, 5)","NA (NA, NA)","2 (0, 4)","4 (1.75, 7)","NA (NA, NA)","1 (0, 2)","2 (1, 3)","3 (2, 5)","1 (0, 2)","2 (1, 3)","3 (2, 5)","1 (0, 2)","2 (1, 4)","3 (2, 5)","1 (0, 3)","2 (1, 4)","NA (NA, NA)"
"Cambodia (2022)","1 (-1, 2)","1 (0, 2)","2 (1, 4)","3 (1, 5)","NA (NA, NA)","1 (0, 2)","2 (1, 4)","3 (1, 5)","3 (2, 6)","1 (0, 3.75)","3 (0, 6)","0 (-1, 2)","1 (0, 2)","2 (1, 4)","3 (1, 5)","1 (0, 2)","2 (1, 4)","3 (1, 5)","1 (0, 3)","2 (1, 4)","3 (1, 6)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)"
"Cameroon (2019)","2 (0, 4)","1 (-1, 3)","1 (0, 4)","2 (0, 5)","2 (0, 3)","1 (-1, 3)","1 (0, 4)","2 (0, 5)","NA (NA, NA)","2 (0, 4)","NA (NA, NA)","NA (NA, NA)","1 (-1, 3)","1 (0, 4)","2 (0, 5)","1 (-1, 3)","1 (0, 4)","2 (0, 5)","1 (-1, 3)","1 (0, 4)","2 (0, 5)","1 (-1, 3)","2 (0, 4)","NA (NA, NA)"
"Chad (2015)","5 (2, 27)","6 (1, 34.25)","8 (2, 31)","10 (3, 32)","5 (1, 22)","5 (0, 30)","7 (2, 29)","10 (3, 33)","NA (NA, NA)","14 (1, 79)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)"
"Comoros (2012)","1 (0, 3)","2 (0, 6)","4 (1, 9)","6 (3, 16)","1 (0, 3)","2 (0, 5)","3 (1, 9)","5 (2, 15)","NA (NA, NA)","2 (-1, 14)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)"
