"country","vaccine","birth_cohort","median","iqr","mean","sd","range","quan_01","quan_05","quan_15","quan_25","quan_50","quan_75","quan_85","quan_95","quan_99"
"All","BCG",2006,1,"(0, 3)",4.8,"(24.67)","(-2, 248)",-2,-2,-1,0,1,3,5,10.7,54.6
"All","BCG",2007,2,"(0, 4)",4.7,"(14.64)","(-2, 210)",-2,-1,-1,0,2,4,7,15,57.2
"All","BCG",2008,1,"(0, 4)",4.4,"(11.46)","(-2, 204)",-2,-1,-1,0,1,4,7,18,58
"All","BCG",2009,2,"(0, 4)",4.3,"(11.03)","(-2, 183)",-2,-1,-1,0,2,4,8,17,55
"All","BCG",2010,2,"(0, 5)",4.9,"(12.88)","(-2, 223)",-2,-1,0,0,2,5,8,19,63
"All","BCG",2011,2,"(0, 5)",5.1,"(12.38)","(-2, 199)",-2,-1,0,0,2,5,8,18,59
"All","BCG",2012,2,"(0, 5)",5.3,"(12.33)","(-2, 199)",-2,-1,0,0,2,5,8,21,61.5
"All","BCG",2013,2,"(0, 5)",5.2,"(11.98)","(-2, 160)",-2,-1,0,0,2,5,9,20,60
"All","BCG",2014,2,"(0, 5)",4.7,"(9.86)","(-2, 119)",-2,-1,0,0,2,5,8,18,53.6
"All","BCG",2015,3,"(1, 6)",5,"(9.26)","(-7, 130)",-2,-1,0,1,3,6,8,15,53
"All","BCG",2016,2,"(0, 4)",4.3,"(10.19)","(-3, 140)",-2,-1,-1,0,2,4,7,18,54
"All","BCG",2017,1,"(0, 3)",3.2,"(9.34)","(-2, 150)",-2,-2,-1,0,1,3,5,13,52
"All","BCG",2018,1,"(0, 2)",2.7,"(8.36)","(-2, 132)",-2,-2,-1,0,1,2,4,11,52
"All","BCG",2019,1,"(0, 3)",3,"(8.45)","(-2, 125)",-2,-2,-1,0,1,3,5,11,44
"All","BCG",2020,1,"(0, 3)",3.4,"(10.28)","(-2, 110)",-2,-2,-1,0,1,3,5,12.6,54.1
"All","BCG",2021,NA,"(NA, NA)",NA,"(NA)","(NA, NA)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"All","BCG",2022,NA,"(NA, NA)",NA,"(NA)","(NA, NA)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"All","DTP-D1",2006,1,"(0, 2)",3.3,"(15.41)","(-5, 152)",-4,-2,-1,0,1,2,3.5,9.5,49.7
"All","DTP-D1",2007,1,"(0, 3)",2.6,"(9.44)","(-10, 157)",-5,-2,-1,0,1,3,5,10,40
"All","DTP-D1",2008,1,"(0, 3)",3.4,"(12.18)","(-11, 204)",-5.3,-2,-1,0,1,3,5,14,54.3
"All","DTP-D1",2009,1,"(0, 3)",3.7,"(12.23)","(-11, 235)",-5.8,-2,-1,0,1,3,6,16,56
