"delay","completeness","OR_CI"
"DTP-D1","DTP-D2","0.97 (0.969, 0.971)"
"HepB-D1","HepB-D2","0.962 (0.96, 0.964)"
"Hib-D1","Hib-D2","0.953 (0.951, 0.956)"
"MCV-D1","MCV-D2","0.988 (0.987, 0.989)"
"OPV-D1","OPV-D2","0.962 (0.961, 0.964)"
"PCV-D1","PCV-D2","0.926 (0.924, 0.928)"
"RV-D1","RV-D2","0.935 (0.934, 0.937)"
"DTP-D1","DTP-D3","0.974 (0.973, 0.975)"
"HepB-D1","HepB-D3","0.961 (0.96, 0.963)"
"Hib-D1","Hib-D3","0.951 (0.949, 0.953)"
"OPV-D1","OPV-D3","0.96 (0.959, 0.962)"
"PCV-D1","PCV-D3","0.933 (0.931, 0.935)"
"RV-D1","RV-D3","0.945 (0.943, 0.947)"
